injection_rate	accepted_load	dropped
1	0.0368740741	0.8693386006
0.8888888889	0.0369962963	0.8682063785
0.8	0.0369537037	0.8660119256
0.6956521739	0.0366518519	0.8663942136
0.5925925926	0.0366518519	0.8663942136
0.5	0.0362462963	0.8676683924
0.4	0.0364611111	0.8656284566
0.3720930233	0.0368481481	0.8601390813
0.3404255319	0.0370111111	0.8528305752
0.32	0.0373296296	0.8495181224
0.3018867925	0.0370055556	0.8433673748
0.2807017544	0.0364222222	0.8366492147
0.25	0.0372296296	0.8277064949
0.2285714286	0.0370407407	0.8189081345
0.211	0.0371407407	0.811658182
0.200	0.2000074074	0
0.160	0.1600092593	0
0.133	0.1333351852	0
