injection_rate	accepted_load	dropped
1	0.1957092593	0.4772825316
0.8888888889	0.1953685185	0.4779572565
0.8	0.1962037037	0.4746219286
0.6956521739	0.1971444444	0.471447924
0.5925925926	0.199687037	0.4690475721
0.5	0.2054962963	0.4556284903
0.4848484848	0.207637037	0.4504020923
0.4571428571	0.2151611111	0.4332167222
0.4444444444	0.22305	0.4209800594
0.4324324324	0.2325851852	0.3971117574
0.4	0.4001240741	0
0.3720930233	0.3721333333	0
0.3404255319	0.3404462963	0.0001903809
0.32	0.3199407407	0
0.302	0.3018666667	0.000042939
0.200	0.2000148148	0
0.160	0.1599925926	0
0.133	0.1333592593	0
