injection_rate	accepted_load	dropped
1	0.0415222222	0.80346208
0.8888888889	0.0437111111	0.7967505117
0.8	0.0337388889	0.8039655055
0.6956521739	0.0469203704	0.8021448357
0.5925925926	0.0382240741	0.8000693851
0.5	0.0439796296	0.8014942029
0.4	0.0465611111	0.7857363329
0.3720930233	0.0430185185	0.7927459754
0.3404255319	0.0379907407	0.7850542278
0.32	0.0534722222	0.7904427445
0.3018867925	0.0457962963	0.7861007918
0.2	0.0423703704	0.7613500779
0.1904761905	0.0424351852	0.7540862271
0.1797752809	0.0460425926	0.754140689
0.170	0.0434240741	0.7413419796
0.160	0.1600092593	0
0.150	0.14955	0
0.133	0.1333351852	0
