injection_rate	accepted_load	dropped
1	0.0963351852	0.6994171044
0.8888888889	0.0957222222	0.6948717645
0.8	0.0949481481	0.7033950671
0.6956521739	0.0939962963	0.7012622966
0.5925925926	0.0953296296	0.6914572924
0.5	0.0951185185	0.6995986343
0.4	0.0921148148	0.6857563243
0.3720930233	0.0957055556	0.6663874588
0.3404255319	0.0949722222	0.6563933371
0.32	0.0960425926	0.6494270482
0.3018867925	0.096312963	0.635103585
0.2711864407	0.0983018519	0.6103371606
0.2580645161	0.0927611111	0.6101416172
0.25	0.1838018519	0.2289338404
0.239	0.1758814815	0.2323577669
0.219	0.1620555556	0.2375693973
0.200	0.1495555556	0.2427971923
0.180	0.1386018519	0.2287082031
0.170	0.1398814815	0.1793119955
0.160	0.1600055556	0
0.150	0.1495222222	0
0.133	0.1333388889	0
