injection_rate	accepted_load	dropped	frequency
0.01	0.00999	0	31666.666667
0.05	0.0501	0.000004	11176.470588
0.1	0.09999	0.000095	6785.714286
0.11	0.10999	0.000145	6333.333333
0.12	0.11995	0.000192	5937.5
0.13	0.12997	0.000273	5588.235294
0.14	0.13987	0.000398	5277.777778
0.15	0.14987	0.000602	5135.135135
0.16	0.15977	0.001006	5000
0.17	0.10484	0.383061	4761.904762
0.18	0.10469	0.417786	4634.146341
0.19	0.10249	0.459384	4444.444444
0.2	0.05243	0.736412	4444.444444
0.21	0.04581	0.779848	4318.181818
0.22	0.04117	0.810201	4222.222222
0.23	0.0377	0.832705	4042.553191
0.2400	0.03545	0.848109	3958.333333
0.2500	0.03391	0.85917	3958.333333
0.3000	0.03185	0.881504	3653.846154
0.35	0.03178	0.890391	3392.857143
0.4	0.0318	0.896297	3220.338983
0.5	0.03178	0.897571	3220.338983
0.6	0.0318	0.897524	3220.338983
0.8	0.03177	0.897612	3220.338983
