injection_rate	accepted_load	dropped	frequency
0.01	0.00999	0	33333.333333
0.05	0.05007	0	11176.470588
0.1	0.09997	0.000004	6551.724138
0.15	0.14997	0.000032	4871.794872
0.2	0.19986	0.000111	4042.553191
0.25	0.24989	0.00028	3518.518519
0.3	0.29987	0.000645	3166.666667
0.35	0.34946	0.001316	2968.75
0.36	0.3596	0.001437	2878.787879
0.37	0.36945	0.00165	2878.787879
0.38	0.3795	0.001862	2777.777778
0.39	0.38943	0.002122	2777.777778
0.4	0.39929	0.002352	2739.726027
0.41	0.40905	0.002672	2739.726027
0.42	0.41895	0.003023	2702.702703
0.43	0.42849	0.00349	2631.578947
0.44	0.22929	0.470698	2794.117647
0.45	0.20791	0.520499	2794.117647
0.5	0.19428	0.550147	2794.117647
0.6	0.19451	0.550332	2794.117647
0.8	0.19421	0.550852	2753.623188
