injection_rate	accepted_load	dropped	frequency
0.01	0.00998	0	31666.666667
0.05	0.05008	0	9500
0.1	0.09999	0	5757.575758
0.11	0.10997	0.000001	5277.777778
0.12	0.11989	0.000621	5000
0.13	0.12386	0.047176	4750
0.14	0.08358	0.402853	4444.444444
0.15	0.07179	0.521339	4222.222222
0.16	0.0636	0.6023	4130.434783
0.17	0.0571	0.663781	4042.553191
0.18	0.05231	0.708877	3958.333333
0.19	0.04858	0.743435	3958.333333
0.2	0.0458	0.769092	3958.333333
0.21	0.04365	0.788855	3958.333333
0.22	0.04217	0.802626	3877.55102
0.23	0.04105	0.812676	3800
0.2400	0.0403	0.819615	3725.490196
0.2500	0.03964	0.824923	3725.490196
0.3000	0.03742	0.839198	3584.90566
0.35	0.0361	0.845478	3454.545455
0.4	0.03574	0.846664	3454.545455
0.5	0.03571	0.846949	3392.857143
0.6	0.03571	0.848679	3392.857143
0.8	0.03571	0.84828	3333.333333
