injection_rate	accepted_load	dropped	frequency
0.0100	0.00914	0	31666.666667
0.0500	0.04591	0	10555.555556
0.0600	0.05503	0	9500
0.0700	0.06416	0	8260.869565
0.0800	0.07336	0	7037.037037
0.0900	0.08246	0	6551.724138
0.1000	0.09166	0	5937.5
0.1100	0.10082	0.000001	5757.575758
0.1200	0.10993	0.000001	5277.777778
0.13	0.11802	0.009361	5128.205128
0.14	0.11103	0.134953	4761.904762
0.15	0.11208	0.184982	4634.146341
0.16	0.1161	0.207372	4523.809524
0.17	0.12121	0.218994	4318.181818
0.18	0.06	0.631919	4222.222222
0.19	0.05524	0.67527	4081.632653
0.2	0.05266	0.701906	4000
0.21	0.05089	0.720859	3958.333333
0.22	0.04983	0.734146	3958.333333
0.23	0.04911	0.743844	3800
0.24	0.04852	0.751737	3725.490196
0.25	0.04806	0.758301	3725.490196
0.3	0.04701	0.774844	3518.518519
0.35	0.04683	0.778538	3392.857143
0.4	0.0468	0.778911	3275.862069
0.5	0.04679	0.778947	3275.862069
0.6	0.04682	0.778886	3275.862069
0.8	0.04678	0.778896	3275.862069
