injection_rate	accepted_load	dropped
0.01	0.0101333333	0
0.02	0.02	0
0.0300187617	0.030037037	0
0.04	0.04	0
0.05	0.050037037	0
0.0599250936	0.0599851852	0
0.0698689956	0.0698666667	0
0.08	0.08	0
0.0898876404	0.0899407407	0
0.1	0.1	0
0.1103448276	0.1103333333	0
0.1203007519	0.1203111111	0
0.1300813008	0.1300888889	0
0.1403508772	0.1403851852	0
0.1495327103	0.1495259259	0
0.16	0.16	0
0.170212766	0.1702296296	0
0.1797752809	0.1798074074	0
0.1904761905	0.1905037037	0
0.2	0.2	0
0.2105263158	0.0372259259	0.8097950743
0.2191780822	0.0366444444	0.8170531481
0.2285714286	0.0364037037	0.8223925659
0.2388059701	0.0373666667	0.8227783632
0.25	0.0373037037	0.8268196857
0.2580645161	0.036862963	0.8310231919
0.2711864407	0.036862963	0.8354248301
0.2807017544	0.0372518519	0.836621455
0.2909090909	0.0370407407	0.8409600611
0.3018867925	0.0371518519	0.8432178876
0.3076923077	0.0373666667	0.8443242077
0.32	0.0374	0.8474794044
0.3333333333	0.0365555556	0.8536570912
0.3404255319	0.0365851852	0.8551011434
0.347826087	0.0359555556	0.85930035
0.3636363636	0.0370296296	0.8588421216
0.3720930233	0.0370592593	0.8609298248
0.380952381	0.0372074074	0.8620461955
0.3902439024	0.0374666667	0.8628024715
0.4	0.0366814815	0.8661390693
0.4102564103	0.0370518519	0.8662444213
0.4210526316	0.0373148148	0.865701049
0.4324324324	0.0366407407	0.868165023
0.4444444444	0.0370555556	0.8673858372
0.4571428571	0.0369	0.8672981362
0.4705882353	0.0370888889	0.8676585231
0.4848484848	0.0370333333	0.8675884355
0.5	0.0363074074	0.8697056712
0.5161290323	0.0372814815	0.8663239416
0.5333333333	0.0370296296	0.8672194216
0.5517241379	0.0368259259	0.8683171727
0.5714285714	0.0370296296	0.8682802078
0.5925925926	0.037037037	0.868001586
0.6153846154	0.037037037	0.8680266005
0.64	0.0366703704	0.8682005586
0.6666666667	0.0368851852	0.8686699247
0.6956521739	0.0374666667	0.8664886868
0.7272727273	0.0373851852	0.8665503015
0.7619047619	0.0368777778	0.8682657705
0.8	0.0366962963	0.8691613483
0.8421052632	0.0371481481	0.8669603641
0.8888888889	0.0370074074	0.8682758803
0.9411764706	0.0368703704	0.8689111937
1	0.0377111111	0.8658711657
