injection_rate	accepted_load	dropped
0.01	0.0101333333	0
0.02	0.02	0
0.0300187617	0.0298666667	0
0.04	0.04	0
0.05	0.0498666667	0
0.0599250936	0.06	0
0.0698689956	0.0698666667	0
0.08	0.08	0
0.0898876404	0.0898666667	0
0.1	0.1	0
0.1103448276	0.1104	0
0.1203007519	0.1202666667	0
0.1300813008	0.1301333333	0
0.1403508772	0.1405333333	0
0.1495327103	0.1495555556	0
0.16	0.16	0
0.170212766	0.0439111111	0.7414895005
0.1797752809	0.0434666667	0.7521854808
0.1904761905	0.0434666667	0.7558357259
0.2	0.0434666667	0.7587438424
0.2105263158	0.0434888889	0.7623497997
0.2191780822	0.0434888889	0.7652351248
0.2285714286	0.0434666667	0.7680919105
0.2388059701	0.0434888889	0.7714419257
0.25	0.0435111111	0.7810472141
0.2580645161	0.0434444444	0.7835507407
0.2711864407	0.0434666667	0.7728486819
0.2807017544	0.0434888889	0.7730644414
0.2909090909	0.0435333333	0.7826279637
0.3018867925	0.0434888889	0.7773730936
0.3076923077	0.0434888889	0.7843612335
0.32	0.0434888889	0.7832059377
0.3333333333	0.0434666667	0.7874606107
0.3404255319	0.0434666667	0.783959458
0.347826087	0.0434888889	0.7856751725
0.3636363636	0.0434666667	0.7870511425
0.3720930233	0.0434888889	0.7877670535
0.380952381	0.0434666667	0.7886090998
0.3902439024	0.0439777778	0.7889066667
0.4	0.0434888889	0.7905630027
0.4102564103	0.0434666667	0.7978745357
0.4210526316	0.0439555556	0.7915086389
0.4324324324	0.0434888889	0.8000613936
0.4444444444	0.0435111111	0.7938263801
0.4571428571	0.0439555556	0.7945362003
0.4705882353	0.0434444444	0.7960588051
0.4848484848	0.0434888889	0.7970969414
0.5	0.0434888889	0.7984536082
0.5161290323	0.0434666667	0.7956708146
0.5333333333	0.0435111111	0.7953998955
0.5517241379	0.0434888889	0.7957135389
0.5714285714	0.0434888889	0.8000408914
0.5925925926	0.0434888889	0.7996934083
0.6153846154	0.0434888889	0.795692179
0.64	0.0434666667	0.8002453486
0.6666666667	0.0434666667	0.7999386629
0.6956521739	0.0434666667	0.8034188034
0.7272727273	0.0434666667	0.7953167468
0.7619047619	0.0434666667	0.8
0.8	0.0439777778	0.7956355362
0.8421052632	0.0439777778	0.8030830433
0.8888888889	0.0434888889	0.7953381415
0.9411764706	0.0439555556	0.8030227702
1	0.0439333333	0.8031222034
