injection_rate	accepted_load	dropped
0.01	0.0101333333	0
0.02	0.02	0
0.0300187617	0.0299777778	0
0.04	0.04	0
0.05	0.0499777778	0
0.0599250936	0.0599777778	0
0.0698689956	0.0698666667	0
0.08	0.08	0
0.0898876404	0.0898666667	0
0.1	0.1	0
0.1103448276	0.1102722222	0
0.1203007519	0.1202666667	0
0.1300813008	0.1300888889	0
0.1403508772	0.1403777778	0
0.1495327103	0.1495518519	0
0.16	0.16	0
0.170212766	0.1558777778	0.0843983655
0.1797752809	0.1380203704	0.231099417
0.1904761905	0.143187037	0.2406248465
0.2	0.1494351852	0.2415747232
0.2105263158	0.1563759259	0.2400748154
0.2191780822	0.1621814815	0.2372668861
0.2285714286	0.1688925926	0.2353350667
0.2388059701	0.1760722222	0.2315814134
0.25	0.1835833333	0.2295803337
0.2580645161	0.0746907407	0.665204157
0.2711864407	0.0856981481	0.6446427611
0.2807017544	0.0874759259	0.6455361027
0.2909090909	0.081312963	0.667564908
0.3018867925	0.0791351852	0.6814012236
0.3076923077	0.0874240741	0.6643591238
0.32	0.0784518519	0.6918061892
0.3333333333	0.0838611111	0.6816120482
0.3404255319	0.0860222222	0.6803410686
0.347826087	0.0872407407	0.6795710923
0.3636363636	0.0766333333	0.7114958545
0.3720930233	0.0770407407	0.710879295
0.380952381	0.0732555556	0.7228122568
0.3902439024	0.0743296296	0.7227758351
0.4	0.0715148148	0.7291764524
0.4102564103	0.0734888889	0.7281731751
0.4210526316	0.085887037	0.7023511435
0.4324324324	0.0730166667	0.7282061898
0.4444444444	0.0722	0.7300311526
0.4571428571	0.0720074074	0.7348590205
0.4705882353	0.0641814815	0.7482202528
0.4848484848	0.0953296296	0.696748116
0.5	0.0948925926	0.6990181801
0.5161290323	0.0950074074	0.6988973458
0.5333333333	0.0951296296	0.700722274
0.5517241379	0.1026462963	0.6618007986
0.5714285714	0.0948574074	0.7035794054
0.5925925926	0.0956833333	0.6915079128
0.6153846154	0.1025462963	0.6645914585
0.64	0.0643814815	0.7480546793
0.6666666667	0.0680444444	0.7222192811
0.6956521739	0.0949037037	0.701857641
0.7272727273	0.0643092593	0.7478030358
0.7619047619	0.0964407407	0.6999677694
0.8	0.0965481481	0.7089931732
0.8421052632	0.09505	0.7010448578
0.8888888889	0.0956462963	0.694079454
0.9411764706	0.0963462963	0.699878283
1	0.0964648148	0.6998224927
