simulator	traffic_pattern	injection_rate	accepted_load	dropped
tickysim	cyclic	0.01	0.0101333333	0
tickysim	cyclic	0.02	0.02	0
tickysim	cyclic	0.0300187617	0.0300888889	0
tickysim	cyclic	0.04	0.04	0
tickysim	cyclic	0.05	0.0500777778	0
tickysim	cyclic	0.0599250936	0.0598555556	0
tickysim	cyclic	0.0698689956	0.0698666667	0
tickysim	cyclic	0.08	0.08	0
tickysim	cyclic	0.0898876404	0.0899388889	0
tickysim	cyclic	0.1	0.1	0
tickysim	cyclic	0.1103448276	0.1105166667	0
tickysim	cyclic	0.1203007519	0.1203444444	0
tickysim	cyclic	0.1300813008	0.1301888889	0
tickysim	cyclic	0.1403508772	0.1402888889	0
tickysim	cyclic	0.1495327103	0.1494777778	0
tickysim	cyclic	0.16	0.1599833333	0
tickysim	cyclic	0.170212766	0.1703722222	0
tickysim	cyclic	0.1797752809	0.1797777778	0
tickysim	cyclic	0.1904761905	0.1904944444	0
tickysim	cyclic	0.2	0.2000166667	0
tickysim	cyclic	0.2105263158	0.2105777778	0
tickysim	cyclic	0.2191780822	0.2191166667	0
tickysim	cyclic	0.2285714286	0.2286388889	0
tickysim	cyclic	0.2388059701	0.2387722222	0
tickysim	cyclic	0.25	0.2499666667	0
tickysim	cyclic	0.2580645161	0.2580722222	0
tickysim	cyclic	0.2711864407	0.2710722222	0
tickysim	cyclic	0.2807017544	0.2808111111	0
tickysim	cyclic	0.2909090909	0.2908833333	0
tickysim	cyclic	0.3018867925	0.30195	0
tickysim	cyclic	0.3076923077	0.3079166667	0
tickysim	cyclic	0.32	0.3199666667	0
tickysim	cyclic	0.3333333333	0.3336277778	0
tickysim	cyclic	0.3404255319	0.3401555556	0.0004404855
tickysim	cyclic	0.347826087	0.3412944444	0.0178936605
tickysim	cyclic	0.3636363636	0.1810444444	0.4411759664
tickysim	cyclic	0.3720930233	0.1829444444	0.443868068
tickysim	cyclic	0.380952381	0.1833444444	0.4490891755
tickysim	cyclic	0.3902439024	0.1855944444	0.4494555997
tickysim	cyclic	0.4	0.1840611111	0.4579544711
tickysim	cyclic	0.4102564103	0.1852055556	0.4628107167
tickysim	cyclic	0.4210526316	0.1856166667	0.4682135236
tickysim	cyclic	0.4324324324	0.1852388889	0.4742614039
tickysim	cyclic	0.4444444444	0.1866388889	0.4791343709
tickysim	cyclic	0.4571428571	0.1853444444	0.4882518148
tickysim	cyclic	0.4705882353	0.1883111111	0.4894381073
tickysim	cyclic	0.4848484848	0.1904388889	0.4911240846
tickysim	cyclic	0.5	0.1870333333	0.5006379065
tickysim	cyclic	0.5161290323	0.1883777778	0.5020785898
tickysim	cyclic	0.5333333333	0.1886888889	0.5048472921
tickysim	cyclic	0.5517241379	0.189	0.5073893767
tickysim	cyclic	0.5714285714	0.18885	0.508393216
tickysim	cyclic	0.5925925926	0.1891777778	0.5099384421
tickysim	cyclic	0.6153846154	0.1896333333	0.5101706837
tickysim	cyclic	0.64	0.1882722222	0.5133520075
tickysim	cyclic	0.6666666667	0.1877166667	0.5142758561
tickysim	cyclic	0.6956521739	0.1869	0.516707592
tickysim	cyclic	0.7272727273	0.1874277778	0.5168094924
tickysim	cyclic	0.7619047619	0.1888111111	0.5153990932
tickysim	cyclic	0.8	0.1888222222	0.5151973299
tickysim	cyclic	0.8421052632	0.1904333333	0.5130275334
tickysim	cyclic	0.8888888889	0.1901611111	0.514388285
tickysim	cyclic	0.9411764706	0.1903	0.5142350521
tickysim	cyclic	1	0.1897555556	0.5155127878
				
insee	cyclic	0.100	0.09983	0.000002
insee	cyclic	0.150	0.14987	0.000038
insee	cyclic	0.200	0.20015	0.000093
insee	cyclic	0.250	0.25002	0.000274
insee	cyclic	0.300	0.29961	0.001307
insee	cyclic	0.325	0.30462	0.061886
insee	cyclic	0.350	0.19317	0.445236
insee	cyclic	0.375	0.18451	0.490794
insee	cyclic	0.400	0.18307	0.508307
insee	cyclic	0.450	0.1825	0.533806
insee	cyclic	0.500	0.18128	0.556991
insee	cyclic	0.600	0.18069	0.571968
insee	cyclic	0.900	0.18003	0.574243
				
fpga	cyclic	1.000	0.1913944444	0.5126136924
fpga	cyclic	0.889	0.1916333333	0.5135429948
fpga	cyclic	0.800	0.1925611111	0.5100498951
fpga	cyclic	0.696	0.1934	0.5050757813
fpga	cyclic	0.593	0.1938	0.4980553124
fpga	cyclic	0.500	0.1943	0.4830183653
fpga	cyclic	0.400	0.1931833333	0.4349468636
fpga	cyclic	0.372	0.1933222222	0.4110068071
fpga	cyclic	0.340	0.3404277778	0
fpga	cyclic	0.320	0.31995	0
fpga	cyclic	0.302	0.3018611111	0
fpga	cyclic	0.200	0.1999333333	0
fpga	cyclic	0.160	0.1599388889	0
fpga	cyclic	0.133	0.1332777778	0
				
spinnaker	cyclic	0.050	0.05002	0
spinnaker	cyclic	0.100	0.1000999167	0
spinnaker	cyclic	0.202	0.2020541667	0
spinnaker	cyclic	0.301	0.300887	0
spinnaker	cyclic	0.325	0.1720624167	0.4401862089
spinnaker	cyclic	0.349	0.1780825	0.4448478198
spinnaker	cyclic	0.402	0.1778246667	0.475457119
spinnaker	cyclic	0.455	0.1764659167	0.5061795218
spinnaker	cyclic	0.502	0.178018	0.5204821354
spinnaker	cyclic	0.548	0.1784636667	0.5255820846
spinnaker	cyclic	0.604	0.1799249167	0.5248341922
spinnaker	cyclic	0.690	0.1782609167	0.5308258012
spinnaker	cyclic	0.806	0.1793714167	0.5304443809
