% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	dropped	injected	routed	received	inj_rate	inj_period	pattern
0	0	0	750	11250	750	0.200000	80	complement
1	0	0	750	6751	750	0.200000	80	complement
2	0	0	750	3000	750	0.200000	80	complement
3	0	0	750	1500	750	0.200000	80	complement
4	0	0	750	5250	750	0.200000	80	complement
5	0	0	750	10500	750	0.200000	80	complement
6	0	0	750	11252	750	0.200000	80	complement
7	0	0	750	8250	750	0.200000	80	complement
8	0	0	750	3000	750	0.200000	80	complement
9	0	0	750	1500	751	0.200000	80	complement
10	0	0	750	5251	750	0.200000	80	complement
11	0	0	750	9000	750	0.200000	80	complement
12	0	0	0	0	0	0	0	0

0	1	0	750	6750	750	0.200000	80	complement
1	1	0	750	6750	750	0.200000	80	complement
2	1	0	750	2250	750	0.200000	80	complement
3	1	0	750	1500	750	0.200000	80	complement
4	1	0	750	1500	750	0.200000	80	complement
5	1	0	750	5251	750	0.200000	80	complement
6	1	0	750	8250	750	0.200000	80	complement
7	1	0	750	6750	751	0.200000	80	complement
8	1	0	750	3750	750	0.200000	80	complement
9	1	0	750	1500	750	0.200000	80	complement
10	1	0	750	1500	750	0.200000	80	complement
11	1	0	750	5250	750	0.200000	80	complement
12	1	0	0	0	0	0	0	0

0	2	0	750	3000	750	0.200000	80	complement
1	2	0	750	2250	750	0.200000	80	complement
2	2	0	750	1500	750	0.200000	80	complement
3	2	0	750	1500	750	0.200000	80	complement
4	2	0	750	1500	750	0.200000	80	complement
5	2	0	750	1500	750	0.200000	80	complement
6	2	0	750	3000	750	0.200000	80	complement
7	2	0	750	3750	750	0.200000	80	complement
8	2	0	750	3000	751	0.200000	80	complement
9	2	0	750	1500	750	0.200000	80	complement
10	2	0	750	1500	750	0.200000	80	complement
11	2	0	750	1500	750	0.200000	80	complement
12	2	0	0	0	0	0	0	0

0	3	0	751	1501	750	0.200000	80	complement
1	3	0	750	1500	750	0.200000	80	complement
2	3	0	750	1500	750	0.200000	80	complement
3	3	0	750	3000	750	0.200000	80	complement
4	3	0	750	3751	750	0.200000	80	complement
5	3	0	750	3000	750	0.200000	80	complement
6	3	0	750	1500	750	0.200000	80	complement
7	3	0	750	1500	750	0.200000	80	complement
8	3	0	750	1500	750	0.200000	80	complement
9	3	0	750	1500	750	0.200000	80	complement
10	3	0	750	2250	750	0.200000	80	complement
11	3	0	750	3000	750	0.200000	80	complement
12	3	0	0	0	0	0	0	0

0	4	0	750	5250	750	0.200000	80	complement
1	4	0	750	1500	750	0.200000	80	complement
2	4	0	750	1500	750	0.200000	80	complement
3	4	0	750	3750	750	0.200000	80	complement
4	4	0	750	6750	750	0.200000	80	complement
5	4	0	750	8250	750	0.200000	80	complement
6	4	0	750	5250	750	0.200000	80	complement
7	4	0	750	1500	750	0.200000	80	complement
8	4	0	750	1500	750	0.200000	80	complement
9	4	0	750	2250	750	0.200000	80	complement
10	4	0	750	6750	750	0.200000	80	complement
11	4	0	750	6750	750	0.200000	80	complement
12	4	0	0	0	0	0	0	0

0	5	0	750	9001	750	0.200000	80	complement
1	5	0	750	5250	750	0.200000	80	complement
2	5	0	750	1500	750	0.200000	80	complement
3	5	0	750	3000	750	0.200000	80	complement
4	5	0	750	8250	750	0.200000	80	complement
5	5	0	750	11250	750	0.200000	80	complement
6	5	0	750	10500	750	0.200000	80	complement
7	5	0	750	5251	750	0.200000	80	complement
8	5	0	750	1500	750	0.200000	80	complement
9	5	0	750	3000	750	0.200000	80	complement
10	5	0	750	6751	750	0.200000	80	complement
11	5	0	750	11250	750	0.200000	80	complement
12	5	0	0	0	0	0	0	0

0	6	0	750	11250	750	0.200000	80	complement
1	6	0	750	6750	750	0.200000	80	complement
2	6	0	750	3000	750	0.200000	80	complement
3	6	0	750	1500	750	0.200000	80	complement
