% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	dropped	injected	routed	received	inj_rate	inj_period	pattern
0	0	635	1529	4942	766	0.800000	20	cyclic
1	0	624	1567	5028	779	0.800000	20	cyclic
2	0	644	1417	5034	785	0.800000	20	cyclic
3	0	663	1390	4624	769	0.800000	20	cyclic
4	0	664	1373	4891	745	0.800000	20	cyclic
5	0	671	1367	4785	729	0.800000	20	cyclic
6	0	649	1410	4866	725	0.800000	20	cyclic
7	0	665	1351	4791	765	0.800000	20	cyclic
8	0	690	1353	4627	715	0.800000	20	cyclic
9	0	651	1382	4826	793	0.800000	20	cyclic
10	0	619	1504	4962	778	0.800000	20	cyclic
11	0	645	1533	4979	804	0.800000	20	cyclic
12	0	0	0	0	0	0	0	0

0	1	630	1462	4855	790	0.800000	20	cyclic
1	1	649	1462	5014	754	0.800000	20	cyclic
2	1	652	1443	4913	790	0.800000	20	cyclic
3	1	629	1410	4938	720	0.800000	20	cyclic
4	1	672	1399	4802	704	0.800000	20	cyclic
5	1	673	1372	4695	750	0.800000	20	cyclic
6	1	658	1345	4753	740	0.800000	20	cyclic
7	1	677	1421	4717	691	0.800000	20	cyclic
8	1	656	1440	4736	747	0.800000	20	cyclic
9	1	669	1405	4782	756	0.800000	20	cyclic
10	1	653	1499	4772	760	0.800000	20	cyclic
11	1	647	1472	5099	803	0.800000	20	cyclic
12	1	0	0	0	0	0	0	0

0	2	629	1481	5057	771	0.800000	20	cyclic
1	2	668	1423	4996	767	0.800000	20	cyclic
2	2	642	1422	4911	788	0.800000	20	cyclic
3	2	681	1441	4860	783	0.800000	20	cyclic
4	2	657	1368	4672	734	0.800000	20	cyclic
5	2	649	1404	4758	722	0.800000	20	cyclic
6	2	658	1336	4727	731	0.800000	20	cyclic
7	2	677	1369	4592	718	0.800000	20	cyclic
8	2	684	1429	4789	739	0.800000	20	cyclic
9	2	670	1496	4572	734	0.800000	20	cyclic
10	2	684	1497	4762	770	0.800000	20	cyclic
11	2	607	1470	4787	799	0.800000	20	cyclic
12	2	0	0	0	0	0	0	0

0	3	684	1541	4770	789	0.800000	20	cyclic
1	3	656	1401	4729	743	0.800000	20	cyclic
2	3	673	1370	4724	718	0.800000	20	cyclic
3	3	698	1361	4798	727	0.800000	20	cyclic
4	3	692	1367	4716	680	0.800000	20	cyclic
5	3	654	1352	4701	670	0.800000	20	cyclic
6	3	674	1354	4640	723	0.800000	20	cyclic
7	3	692	1318	4586	685	0.800000	20	cyclic
8	3	703	1366	4500	713	0.800000	20	cyclic
9	3	677	1406	4628	725	0.800000	20	cyclic
10	3	632	1493	4815	779	0.800000	20	cyclic
11	3	644	1549	4894	760	0.800000	20	cyclic
12	3	0	0	0	0	0	0	0

0	4	646	1424	4916	747	0.800000	20	cyclic
1	4	660	1429	4819	745	0.800000	20	cyclic
2	4	663	1390	4770	764	0.800000	20	cyclic
3	4	677	1344	4552	711	0.800000	20	cyclic
4	4	670	1362	4638	703	0.800000	20	cyclic
5	4	682	1353	4622	690	0.800000	20	cyclic
6	4	674	1342	4677	676	0.800000	20	cyclic
7	4	665	1331	4632	718	0.800000	20	cyclic
8	4	691	1393	4616	694	0.800000	20	cyclic
9	4	708	1431	4681	713	0.800000	20	cyclic
10	4	680	1394	4553	759	0.800000	20	cyclic
11	4	636	1525	4849	753	0.800000	20	cyclic
12	4	0	0	0	0	0	0	0

0	5	673	1433	4789	728	0.800000	20	cyclic
1	5	664	1387	4736	744	0.800000	20	cyclic
2	5	655	1359	4623	687	0.800000	20	cyclic
3	5	668	1328	4729	732	0.800000	20	cyclic
4	5	667	1344	4604	704	0.800000	20	cyclic
5	5	661	1297	4597	701	0.800000	20	cyclic
6	5	689	1340	4566	675	0.800000	20	cyclic
7	5	695	1320	4568	677	0.800000	20	cyclic
8	5	672	1352	4706	685	0.800000	20	cyclic
9	5	675	1324	4435	716	0.800000	20	cyclic
10	5	689	1429	4661	782	0.800000	20	cyclic
11	5	664	1465	4630	770	0.800000	20	cyclic
12	5	0	0	0	0	0	0	0

0	6	637	1405	4719	744	0.800000	20	cyclic
1	6	666	1376	4854	777	0.800000	20	cyclic
2	6	640	1327	4626	749	0.800000	20	cyclic
3	6	663	1366	4548	714	0.800000	20	cyclic
4	6	668	1370	4738	708	0.800000	20	cyclic
5	6	691	1357	4617	688	0.800000	20	cyclic
6	6	667	1329	4663	662	0.800000	20	cyclic
7	6	647	1364	4676	683	0.800000	20	cyclic
8	6	650	1366	4486	684	0.800000	20	cyclic
9	6	667	1365	4566	711	0.800000	20	cyclic
10	6	690	1420	4488	754	0.800000	20	cyclic
11	6	660	1436	4648	735	0.800000	20	cyclic
12	6	0	0	0	0	0	0	0

0	7	676	1488	4731	757	0.800000	20	cyclic
1	7	657	1406	4672	761	0.800000	20	cyclic
2	7	664	1273	4675	718	0.800000	20	cyclic
3	7	658	1300	4638	707	0.800000	20	cyclic
4	7	683	1363	4646	702	0.800000	20	cyclic
5	7	702	1316	4665	675	0.800000	20	cyclic
6	7	699	1354	4656	707	0.800000	20	cyclic
7	7	679	1298	4435	651	0.800000	20	cyclic
8	7	672	1348	4565	682	0.800000	20	cyclic
9	7	700	1424	4648	718	0.800000	20	cyclic
10	7	678	1401	4664	762	0.800000	20	cyclic
11	7	652	1494	4838	763	0.800000	20	cyclic
12	7	0	0	0	0	0	0	0

0	8	670	1432	4616	788	0.800000	20	cyclic
1	8	674	1375	4597	732	0.800000	20	cyclic
2	8	667	1412	4846	739	0.800000	20	cyclic
3	8	668	1397	4526	754	0.800000	20	cyclic
4	8	646	1390	4596	683	0.800000	20	cyclic
5	8	657	1358	4682	666	0.800000	20	cyclic
6	8	693	1356	4635	700	0.800000	20	cyclic
7	8	685	1303	4366	691	0.800000	20	cyclic
8	8	674	1434	4728	726	0.800000	20	cyclic
9	8	689	1334	4492	714	0.800000	20	cyclic
10	8	669	1499	4721	683	0.800000	20	cyclic
11	8	660	1482	4782	752	0.800000	20	cyclic
12	8	0	0	0	0	0	0	0

0	9	653	1403	4569	763	0.800000	20	cyclic
1	9	676	1446	4673	757	0.800000	20	cyclic
2	9	664	1449	4955	735	0.800000	20	cyclic
3	9	654	1343	4756	776	0.800000	20	cyclic
4	9	660	1372	4742	734	0.800000	20	cyclic
5	9	675	1380	4765	716	0.800000	20	cyclic
