% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	dropped	injected	routed	received	inj_rate	inj_period	pattern
0	0	325	1111	4120	1111	0.500000	32	transpose
1	0	378	1577	2765	0	0.500000	32	transpose
2	0	785	1042	1313	0	0.500000	32	transpose
3	0	924	968	1013	479	0.500000	32	transpose
4	0	939	1426	1512	277	0.500000	32	transpose
5	0	730	611	1725	1	0.500000	32	transpose
6	0	771	664	1918	0	0.500000	32	transpose
7	0	961	647	1636	155	0.500000	32	transpose
8	0	947	1585	988	79	0.500000	32	transpose
9	0	764	1875	1367	251	0.500000	32	transpose
10	0	1111	1111	1860	495	0.500000	32	transpose
11	0	1110	1111	3334	1462	0.500000	32	transpose
12	0	0	0	0	0	0	0	0

0	1	1111	1111	3330	1473	0.500000	32	transpose
1	1	330	1111	4114	1111	0.500000	32	transpose
2	1	387	1552	2739	0	0.500000	32	transpose
3	1	735	994	1257	0	0.500000	32	transpose
4	1	912	939	977	246	0.500000	32	transpose
5	1	910	1396	1537	219	0.500000	32	transpose
6	1	733	629	1804	4	0.500000	32	transpose
7	1	948	638	1610	3	0.500000	32	transpose
8	1	882	666	1446	108	0.500000	32	transpose
9	1	921	1493	825	76	0.500000	32	transpose
10	1	764	1875	1363	254	0.500000	32	transpose
11	1	1111	1111	1858	503	0.500000	32	transpose
12	1	0	0	0	0	0	0	0

0	2	1111	1111	1864	507	0.500000	32	transpose
1	2	1111	1111	3330	1468	0.500000	32	transpose
2	2	331	1111	4113	1111	0.500000	32	transpose
3	2	397	1562	2726	0	0.500000	32	transpose
4	2	737	991	1239	0	0.500000	32	transpose
5	2	917	929	959	188	0.500000	32	transpose
6	2	923	1370	1122	217	0.500000	32	transpose
7	2	805	668	1872	17	0.500000	32	transpose
8	2	900	755	1903	10	0.500000	32	transpose
9	2	870	722	1382	108	0.500000	32	transpose
10	2	956	1518	770	75	0.500000	32	transpose
11	2	764	1875	1362	255	0.500000	32	transpose
12	2	0	0	0	0	0	0	0

0	3	765	1875	1379	159	0.500000	32	transpose
1	3	1111	1111	1864	545	0.500000	32	transpose
2	3	1111	1111	3332	1459	0.500000	32	transpose
3	3	332	1111	4112	1111	0.500000	32	transpose
4	3	387	1562	2731	0	0.500000	32	transpose
5	3	734	974	1235	0	0.500000	32	transpose
6	3	917	938	954	165	0.500000	32	transpose
7	3	937	1405	933	240	0.500000	32	transpose
8	3	818	722	1962	43	0.500000	32	transpose
9	3	892	791	1924	31	0.500000	32	transpose
10	3	885	780	1244	110	0.500000	32	transpose
11	3	984	1514	656	110	0.500000	32	transpose
12	3	0	0	0	0	0	0	0

0	4	776	1875	1173	91	0.500000	32	transpose
1	4	1087	1105	1340	148	0.500000	32	transpose
2	4	1111	1111	1875	527	0.500000	32	transpose
3	4	1111	1111	3333	1465	0.500000	32	transpose
4	4	320	1111	4123	1110	0.500000	32	transpose
5	4	421	1560	2701	0	0.500000	32	transpose
6	4	728	980	1248	0	0.500000	32	transpose
7	4	917	934	949	332	0.500000	32	transpose
8	4	928	1399	688	320	0.500000	32	transpose
9	4	953	1287	1652	452	0.500000	32	transpose
10	4	945	850	1942	148	0.500000	32	transpose
11	4	931	874	1192	169	0.500000	32	transpose
12	4	0	0	0	0	0	0	0

0	5	846	1666	1160	340	0.500000	32	transpose
1	5	774	1875	1169	70	0.500000	32	transpose
2	5	1088	1100	1341	144	0.500000	32	transpose
3	5	1111	1111	1870	518	0.500000	32	transpose
4	5	1111	1110	3332	1468	0.500000	32	transpose
5	5	329	1110	4113	1111	0.500000	32	transpose
6	5	393	1554	2718	0	0.500000	32	transpose
7	5	724	988	1260	0	0.500000	32	transpose
8	5	906	936	963	293	0.500000	32	transpose
9	5	925	1419	668	214	0.500000	32	transpose
10	5	1014	1381	552	84	0.500000	32	transpose
11	5	597	774	1853	449	0.500000	32	transpose
12	5	0	0	0	0	0	0	0

0	6	908	1123	1360	332	0.500000	32	transpose
1	6	722	1631	1587	337	0.500000	32	transpose
2	6	774	1875	1175	84	0.500000	32	transpose
3	6	1098	1102	1334	133	0.500000	32	transpose
4	6	1111	1111	1872	544	0.500000	32	transpose
5	6	1111	1111	3333	1460	0.500000	32	transpose
6	6	333	1111	4111	1111	0.500000	32	transpose
7	6	411	1564	2713	0	0.500000	32	transpose
8	6	725	980	1227	0	0.500000	32	transpose
9	6	913	933	952	231	0.500000	32	transpose
10	6	943	1397	655	207	0.500000	32	transpose
11	6	588	1856	1361	113	0.500000	32	transpose
12	6	0	0	0	0	0	0	0

0	7	1022	804	596	46	0.500000	32	transpose
1	7	855	619	1631	6	0.500000	32	transpose
2	7	649	1565	2222	322	0.500000	32	transpose
3	7	772	1875	1173	72	0.500000	32	transpose
4	7	1097	1101	1323	183	0.500000	32	transpose
5	7	1111	1110	1863	534	0.500000	32	transpose
6	7	1110	1111	3334	1470	0.500000	32	transpose
7	7	329	1111	4116	1111	0.500000	32	transpose
8	7	415	1561	2714	0	0.500000	32	transpose
9	7	732	998	1254	0	0.500000	32	transpose
10	7	912	937	964	170	0.500000	32	transpose
11	7	950	1411	674	305	0.500000	32	transpose
12	7	0	0	0	0	0	0	0

0	8	1075	1296	368	140	0.500000	32	transpose
1	8	1025	438	712	92	0.500000	32	transpose
2	8	869	613	1592	8	0.500000	32	transpose
3	8	633	1536	2665	159	0.500000	32	transpose
4	8	772	1875	1245	73	0.500000	32	transpose
5	8	1094	1101	1330	154	0.500000	32	transpose
6	8	1111	1111	1863	533	0.500000	32	transpose
7	8	1111	1111	3333	1464	0.500000	32	transpose
8	8	330	1111	4114	1111	0.500000	32	transpose
9	8	393	1558	2716	0	0.500000	32	transpose
10	8	727	987	1246	0	0.500000	32	transpose
11	8	908	1412	1025	264	0.500000	32	transpose
12	8	0	0	0	0	0	0	0

0	9	925	1435	1030	525	0.500000	32	transpose
1	9	1064	1298	535	138	0.500000	32	transpose
2	9	1012	478	890	194	0.500000	32	transpose
3	9	894	607	1527	2	0.500000	32	transpose
4	9	633	1485	2963	79	0.500000	32	transpose
5	9	773	1875	1322	61	0.500000	32	transpose
6	9	1087	1103	1334	144	0.500000	32	transpose
7	9	1111	1111	1877	535	0.500000	32	transpose
8	9	1111	1111	3330	1462	0.500000	32	transpose
9	9	330	1111	4114	1111	0.500000	32	transpose
10	9	407	1559	2714	0	0.500000	32	transpose
11	9	786	1036	1292	0	0.500000	32	transpose
12	9	0	0	0	0	0	0	0

0	10	780	1038	1297	0	0.500000	32	transpose
1	10	920	1437	1038	521	0.500000	32	transpose
2	10	1043	1294	831	268	0.500000	32	transpose
3	10	980	504	1070	109	0.500000	32	transpose
4	10	891	630	1624	0	0.500000	32	transpose
5	10	692	1046	2686	51	0.500000	32	transpose
6	10	776	1875	1424	62	0.500000	32	transpose
7	10	1099	1106	1330	136	0.500000	32	transpose
8	10	1110	1111	1875	552	0.500000	32	transpose
9	10	1111	1110	3332	1465	0.500000	32	transpose
10	10	333	1111	4110	1111	0.500000	32	transpose
11	10	384	1560	2733	0	0.500000	32	transpose
12	10	0	0	0	0	0	0	0

0	11	362	1567	2779	0	0.500000	32	transpose
1	11	778	1033	1300	0	0.500000	32	transpose
2	11	916	1448	1053	520	0.500000	32	transpose
3	11	984	1292	1136	235	0.500000	32	transpose
4	11	886	616	1600	179	0.500000	32	transpose
5	11	725	672	1969	0	0.500000	32	transpose
6	11	856	970	2066	44	0.500000	32	transpose
7	11	774	1875	1525	78	0.500000	32	transpose
8	11	1094	1104	1336	222	0.500000	32	transpose
9	11	1111	1112	1872	520	0.500000	32	transpose
10	11	1111	1111	3333	1471	0.500000	32	transpose
11	11	332	1111	4112	1111	0.500000	32	transpose
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
