% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	16296	3936	16648	55739	0.301887	53	complement
1	0	14364	3700	16393	48537	0.301887	53	complement
2	0	22556	3686	6587	31477	0.301887	53	complement
3	0	22556	1744	9404	24300	0.301887	53	complement
4	0	12892	1687	19538	41672	0.301887	53	complement
5	0	12997	1612	17895	52228	0.301887	53	complement
6	0	13514	5791	18010	54055	0.301887	53	complement
7	0	13462	4832	16780	53724	0.301887	53	complement
8	0	22554	1669	9151	28758	0.301887	53	complement
9	0	22557	2346	8833	24903	0.301887	53	complement
10	0	13292	2146	18156	48655	0.301887	53	complement
11	0	13542	3831	19565	54247	0.301887	53	complement
12	0	0	0	0	0	0	0	0

0	1	11408	2573	19308	46057	0.301887	53	complement
1	1	19337	1210	18565	47310	0.301887	53	complement
2	1	13102	4210	18787	34808	0.301887	53	complement
3	1	22555	4270	5060	26825	0.301887	53	complement
4	1	22556	2405	11254	24961	0.301887	53	complement
5	1	14759	709	19549	36487	0.301887	53	complement
6	1	13190	1404	19052	52760	0.301887	53	complement
7	1	18930	680	19688	45481	0.301887	53	complement
8	1	14578	1674	17686	42288	0.301887	53	complement
9	1	22556	3534	11962	26090	0.301887	53	complement
10	1	22558	3233	11753	25791	0.301887	53	complement
11	1	14542	1381	19609	39980	0.301887	53	complement
12	1	0	0	0	0	0	0	0

0	2	22555	1527	16831	33847	0.301887	53	complement
1	2	11214	3213	19911	29068	0.301887	53	complement
2	2	22556	642	16620	23198	0.301887	53	complement
3	2	22555	22557	0	45112	0.301887	53	complement
4	2	22555	22555	0	45111	0.301887	53	complement
5	2	22558	790	11734	23346	0.301887	53	complement
6	2	15238	839	19547	30597	0.301887	53	complement
7	2	14832	2007	19522	39012	0.301887	53	complement
8	2	22554	285	18613	47608	0.301887	53	complement
9	2	22555	4826	10141	27382	0.301887	53	complement
10	2	22555	22550	0	45105	0.301887	53	complement
11	2	22556	995	16768	23551	0.301887	53	complement
12	2	0	0	0	0	0	0	0

0	3	22556	22555	12053	45111	0.301887	53	complement
1	3	22555	3977	7914	26532	0.301887	53	complement
2	3	22555	9517	0	32072	0.301887	53	complement
3	3	22555	22555	0	90221	0.301887	53	complement
4	3	22555	22555	0	112776	0.301887	53	complement
5	3	22555	22555	0	90220	0.301887	53	complement
6	3	22555	22558	0	45112	0.301887	53	complement
7	3	22555	3700	16044	26255	0.301887	53	complement
8	3	22555	3265	10203	25821	0.301887	53	complement
9	3	22555	22550	0	45105	0.301887	53	complement
10	3	22555	22550	0	67660	0.301887	53	complement
11	3	22555	22550	0	78158	0.301887	53	complement
12	3	0	0	0	0	0	0	0

0	4	22555	22557	0	157886	0.301887	53	complement
1	4	22555	22557	0	45111	0.301887	53	complement
2	4	22555	22555	0	45110	0.301887	53	complement
3	4	22555	22556	0	99739	0.301887	53	complement
4	4	22555	22555	0	203000	0.301887	53	complement
5	4	22555	22555	0	248107	0.301887	53	complement
6	4	22555	22555	0	157893	0.301887	53	complement
7	4	22555	22558	0	45111	0.301887	53	complement
8	4	22555	22556	0	45114	0.301887	53	complement
9	4	22555	22555	0	67665	0.301887	53	complement
10	4	22555	22555	0	202984	0.301887	53	complement
11	4	22555	22555	0	190930	0.301887	53	complement
12	4	0	0	0	0	0	0	0

0	5	22555	22559	0	270670	0.301887	53	complement
1	5	22555	22559	0	157891	0.301887	53	complement
2	5	22555	22557	0	45112	0.301887	53	complement
3	5	22555	22556	0	90224	0.301887	53	complement
4	5	22555	22555	0	235075	0.301887	53	complement
5	5	22555	22555	0	338331	0.301887	53	complement
6	5	22555	22555	0	315773	0.301887	53	complement
7	5	22555	22555	0	157896	0.301887	53	complement
8	5	22555	22545	0	45100	0.301887	53	complement
9	5	22555	22555	0	90210	0.301887	53	complement
10	5	22555	22555	0	202974	0.301887	53	complement
11	5	22555	22555	0	326259	0.301887	53	complement
12	5	0	0	0	0	0	0	0

0	6	22555	22557	0	338346	0.301887	53	complement
1	6	22555	22560	0	203013	0.301887	53	complement
2	6	22555	22557	0	90229	0.301887	53	complement
3	6	22555	22556	0	45112	0.301887	53	complement
4	6	22555	22555	0	157891	0.301887	53	complement
5	6	22555	22555	0	302743	0.301887	53	complement
6	6	22555	22555	0	338327	0.301887	53	complement
7	6	22555	22555	0	248105	0.301887	53	complement
8	6	22555	22545	0	90190	0.301887	53	complement
9	6	22555	22545	0	45100	0.301887	53	complement
10	6	22555	22555	0	157875	0.301887	53	complement
11	6	22555	22555	0	258607	0.301887	53	complement
12	6	0	0	0	0	0	0	0

0	7	22555	22559	0	203000	0.301887	53	complement
1	7	22555	22558	0	203002	0.301887	53	complement
2	7	22555	22558	0	67670	0.301887	53	complement
3	7	22555	22556	0	45113	0.301887	53	complement
4	7	22555	22555	0	45113	0.301887	53	complement
5	7	22555	22558	0	157899	0.301887	53	complement
6	7	22555	22555	0	235072	0.301887	53	complement
7	7	22555	22555	0	202996	0.301887	53	complement
8	7	22555	22545	0	112758	0.301887	53	complement
9	7	22555	22545	0	45100	0.301887	53	complement
10	7	22555	22545	0	45100	0.301887	53	complement
11	7	22555	22555	0	145834	0.301887	53	complement
12	7	0	0	0	0	0	0	0

0	8	22555	22556	0	90224	0.301887	53	complement
1	8	22555	22555	0	67665	0.301887	53	complement
2	8	22555	22555	0	45110	0.301887	53	complement
3	8	22555	5036	2884	27592	0.301887	53	complement
4	8	22555	1347	7722	23902	0.301887	53	complement
5	8	22555	22535	0	45091	0.301887	53	complement
6	8	22555	22535	0	90186	0.301887	53	complement
7	8	22555	22535	0	99696	0.301887	53	complement
8	8	22555	22535	0	77161	0.301887	53	complement
9	8	22557	22545	13041	45102	0.301887	53	complement
10	8	22556	3407	10053	25964	0.301887	53	complement
11	8	22555	10502	0	33057	0.301887	53	complement
12	8	0	0	0	0	0	0	0

0	9	22553	671	11674	23226	0.301887	53	complement
1	9	22555	22558	0	45113	0.301887	53	complement
2	9	22557	5694	12223	28251	0.301887	53	complement
3	9	10348	1067	18363	41421	0.301887	53	complement
4	9	15638	1634	16620	42916	0.301887	53	complement
5	9	14912	411	19914	29947	0.301887	53	complement
6	9	22555	271	9281	22826	0.301887	53	complement
7	9	22555	22535	0	45091	0.301887	53	complement
8	9	22555	22535	0	45091	0.301887	53	complement
9	9	22556	675	14098	23231	0.301887	53	complement
10	9	14754	2537	17740	29793	0.301887	53	complement
11	9	16564	2492	18894	33346	0.301887	53	complement
12	9	0	0	0	0	0	0	0

0	10	15033	717	18698	38809	0.301887	53	complement
1	10	22556	2429	10339	24985	0.301887	53	complement
2	10	22557	4390	12197	26948	0.301887	53	complement
3	10	10396	4673	19643	41564	0.301887	53	complement
4	10	11511	3838	18349	46118	0.301887	53	complement
5	10	12781	1384	19368	48938	0.301887	53	complement
6	10	13349	332	19750	33924	0.301887	53	complement
7	10	22558	2024	7881	24582	0.301887	53	complement
8	10	22556	6704	8355	29260	0.301887	53	complement
9	10	13837	4856	19558	32894	0.301887	53	complement
10	10	16658	2169	19034	49728	0.301887	53	complement
11	10	13737	2816	17554	44674	0.301887	53	complement
12	10	0	0	0	0	0	0	0

0	11	14151	3685	17517	51547	0.301887	53	complement
1	11	13951	952	16506	44133	0.301887	53	complement
2	11	22556	966	7117	23522	0.301887	53	complement
3	11	22556	3450	16780	32143	0.301887	53	complement
4	11	15479	2106	18377	54009	0.301887	53	complement
5	11	13956	9104	18705	56105	0.301887	53	complement
6	11	13269	4273	19789	53157	0.301887	53	complement
7	11	15665	1055	19069	41921	0.301887	53	complement
8	11	22555	1001	5927	23556	0.301887	53	complement
9	11	22557	5548	9203	37155	0.301887	53	complement
10	11	13412	4956	19421	53080	0.301887	53	complement
11	11	14750	7661	19108	59041	0.301887	53	complement
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
