chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	31420	16532	14244	114920	0.800000	20	cyclic
1	0	30881	16373	14353	117052	0.800000	20	cyclic
2	0	30331	15907	14470	115844	0.800000	20	cyclic
3	0	30757	15599	14439	115821	0.800000	20	cyclic
4	0	29416	15149	14504	111920	0.800000	20	cyclic
5	0	30110	15556	14407	112794	0.800000	20	cyclic
6	0	30102	15291	14586	115979	0.800000	20	cyclic
7	0	31103	15656	14626	119363	0.800000	20	cyclic
8	0	32227	16373	14332	123364	0.800000	20	cyclic
9	0	32992	16882	14184	125035	0.800000	20	cyclic
10	0	33296	17257	14181	124630	0.800000	20	cyclic
11	0	34205	17461	13840	122947	0.800000	20	cyclic
12	0	0	0	0	0	0	0	0

0	1	30263	16264	14459	114860	0.800000	20	cyclic
1	1	33806	17024	14188	123856	0.800000	20	cyclic
2	1	32227	16402	14343	122413	0.800000	20	cyclic
3	1	31964	16385	14434	122191	0.800000	20	cyclic
4	1	30102	15552	14764	117635	0.800000	20	cyclic
5	1	29122	15232	14654	113098	0.800000	20	cyclic
6	1	29838	15147	14534	112803	0.800000	20	cyclic
7	1	29724	15291	14951	114648	0.800000	20	cyclic
8	1	31474	16174	14723	119429	0.800000	20	cyclic
9	1	32202	16774	14590	122466	0.800000	20	cyclic
10	1	33602	17328	14091	125137	0.800000	20	cyclic
11	1	33618	17497	13901	123123	0.800000	20	cyclic
12	1	0	0	0	0	0	0	0

0	2	30079	16219	14500	114776	0.800000	20	cyclic
1	2	31468	16654	14347	120916	0.800000	20	cyclic
2	2	31280	16460	14491	121141	0.800000	20	cyclic
3	2	31009	16115	14648	120398	0.800000	20	cyclic
4	2	30693	15757	14623	119314	0.800000	20	cyclic
5	2	30249	15376	14580	118020	0.800000	20	cyclic
6	2	29127	14784	14761	112716	0.800000	20	cyclic
7	2	28752	15010	14618	110724	0.800000	20	cyclic
8	2	30156	15621	14698	114612	0.800000	20	cyclic
9	2	30186	15984	14917	115441	0.800000	20	cyclic
10	2	32081	17044	14571	121035	0.800000	20	cyclic
11	2	32565	17176	14025	120400	0.800000	20	cyclic
12	2	0	0	0	0	0	0	0

0	3	29560	16190	14347	112961	0.800000	20	cyclic
1	3	30982	16657	14424	118931	0.800000	20	cyclic
2	3	30648	16246	14562	118637	0.800000	20	cyclic
3	3	29906	15645	14842	117274	0.800000	20	cyclic
4	3	29630	15235	14875	116435	0.800000	20	cyclic
5	3	29710	14921	14695	117171	0.800000	20	cyclic
6	3	30334	15186	14548	117314	0.800000	20	cyclic
7	3	28508	14861	14639	111300	0.800000	20	cyclic
8	3	28520	15004	14508	108501	0.800000	20	cyclic
9	3	28281	15327	14864	110083	0.800000	20	cyclic
10	3	29277	15823	14955	112357	0.800000	20	cyclic
