% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	7510	7510	0	15020	0.100000	160	tornado
1	0	7510	7510	0	30040	0.100000	160	tornado
2	0	7510	7510	0	45060	0.100000	160	tornado
3	0	7510	7510	0	60080	0.100000	160	tornado
4	0	7510	7509	0	75092	0.100000	160	tornado
5	0	7510	7505	0	90083	0.100000	160	tornado
6	0	7510	7505	0	90095	0.100000	160	tornado
7	0	7510	7505	0	75080	0.100000	160	tornado
8	0	7510	7505	0	60065	0.100000	160	tornado
9	0	7510	7505	0	45050	0.100000	160	tornado
10	0	7510	7505	0	30035	0.100000	160	tornado
11	0	7510	7510	0	15020	0.100000	160	tornado
12	0	0	0	0	0	0	0	0

0	1	7510	7510	0	15020	0.100000	160	tornado
1	1	7510	7510	0	30040	0.100000	160	tornado
2	1	7510	7510	0	45060	0.100000	160	tornado
3	1	7510	7510	0	60080	0.100000	160	tornado
4	1	7510	7510	0	75100	0.100000	160	tornado
5	1	7510	7507	0	90110	0.100000	160	tornado
6	1	7510	7505	0	90081	0.100000	160	tornado
7	1	7510	7505	0	75075	0.100000	160	tornado
8	1	7510	7505	0	60060	0.100000	160	tornado
9	1	7510	7505	0	45045	0.100000	160	tornado
10	1	7510	7505	0	30030	0.100000	160	tornado
11	1	7510	7505	0	15015	0.100000	160	tornado
12	1	0	0	0	0	0	0	0

0	2	7510	7510	0	15020	0.100000	160	tornado
1	2	7510	7510	0	30040	0.100000	160	tornado
2	2	7510	7510	0	45060	0.100000	160	tornado
3	2	7510	7510	0	60080	0.100000	160	tornado
4	2	7510	7510	0	75100	0.100000	160	tornado
5	2	7510	7509	0	90119	0.100000	160	tornado
6	2	7510	7505	0	90108	0.100000	160	tornado
7	2	7510	7505	0	75069	0.100000	160	tornado
8	2	7510	7505	0	60060	0.100000	160	tornado
9	2	7510	7505	0	45045	0.100000	160	tornado
10	2	7510	7505	0	30030	0.100000	160	tornado
11	2	7510	7505	0	15015	0.100000	160	tornado
12	2	0	0	0	0	0	0	0

0	3	7510	7510	0	15020	0.100000	160	tornado
1	3	7510	7510	0	30040	0.100000	160	tornado
2	3	7510	7510	0	45060	0.100000	160	tornado
3	3	7510	7510	0	60080	0.100000	160	tornado
4	3	7510	7510	0	75100	0.100000	160	tornado
5	3	7510	7510	0	90120	0.100000	160	tornado
6	3	7510	7510	0	90120	0.100000	160	tornado
7	3	7510	7505	0	75093	0.100000	160	tornado
8	3	7510	7505	0	60059	0.100000	160	tornado
9	3	7510	7505	0	45045	0.100000	160	tornado
10	3	7510	7505	0	30030	0.100000	160	tornado
11	3	7510	7505	0	15015	0.100000	160	tornado
12	3	0	0	0	0	0	0	0

0	4	7510	7505	0	15015	0.100000	160	tornado
1	4	7510	7510	0	30040	0.100000	160	tornado
2	4	7510	7508	0	45058	0.100000	160	tornado
3	4	7510	7505	0	60073	0.100000	160	tornado
4	4	7510	7505	0	75088	0.100000	160	tornado
5	4	7510	7505	0	90105	0.100000	160	tornado
6	4	7510	7510	0	90104	0.100000	160	tornado
7	4	7510	7505	0	75076	0.100000	160	tornado
8	4	7510	7510	0	60064	0.100000	160	tornado
9	4	7510	7505	0	45045	0.100000	160	tornado
10	4	7510	7505	0	30030	0.100000	160	tornado
11	4	7510	7505	0	15015	0.100000	160	tornado
12	4	0	0	0	0	0	0	0

0	5	7510	7505	0	15015	0.100000	160	tornado
1	5	7510	7505	0	30030	0.100000	160	tornado
2	5	7510	7509	0	45059	0.100000	160	tornado
3	5	7510	7505	0	60074	0.100000	160	tornado
4	5	7510	7505	0	75089	0.100000	160	tornado
5	5	7510	7505	0	90105	0.100000	160	tornado
6	5	7510	7510	0	90105	0.100000	160	tornado
7	5	7510	7507	0	75080	0.100000	160	tornado
8	5	7510	7509	0	60063	0.100000	160	tornado
9	5	7510	7505	0	45045	0.100000	160	tornado
10	5	7510	7505	0	30030	0.100000	160	tornado
11	5	7510	7505	0	15015	0.100000	160	tornado
12	5	0	0	0	0	0	0	0

