chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	22554	14853	7728	37410	0.301887	53	tornado
1	0	14767	12561	14914	57010	0.301887	53	tornado
2	0	14641	382	14714	57119	0.301887	53	tornado
3	0	14535	826	14601	57767	0.301887	53	tornado
4	0	14541	390	16292	58097	0.301887	53	tornado
5	0	17122	469	15391	59838	0.301887	53	tornado
6	0	14914	417	14901	59782	0.301887	53	tornado
7	0	15085	399	14836	59285	0.301887	53	tornado
8	0	15122	631	14743	58545	0.301887	53	tornado
9	0	15244	2546	14745	57537	0.301887	53	tornado
10	0	19708	3961	13475	53225	0.301887	53	tornado
11	0	22555	7005	8	29560	0.301887	53	tornado
12	0	0	0	0	0	0	0	0

0	1	22556	9636	7052	32192	0.301887	53	tornado
1	1	15417	6839	15659	47397	0.301887	53	tornado
2	1	15188	4517	15404	51445	0.301887	53	tornado
3	1	14987	2861	15162	53893	0.301887	53	tornado
4	1	14809	2073	15116	55611	0.301887	53	tornado
5	1	14516	3086	16291	58101	0.301887	53	tornado
6	1	12951	383	9676	51488	0.301887	53	tornado
7	1	12998	400	12674	50826	0.301887	53	tornado
8	1	13116	855	12845	50273	0.301887	53	tornado
9	1	13630	1541	13301	49603	0.301887	53	tornado
10	1	15855	3204	13432	47863	0.301887	53	tornado
11	1	22555	6410	163	28965	0.301887	53	tornado
12	1	0	0	0	0	0	0	0

0	2	22557	14915	6400	37468	0.301887	53	tornado
1	2	16093	3733	16174	50897	0.301887	53	tornado
2	2	16038	4717	16050	55478	0.301887	53	tornado
3	2	16022	3178	16044	58625	0.301887	53	tornado
4	2	15996	2197	15974	60776	0.301887	53	tornado
5	2	16032	3370	16751	64206	0.301887	53	tornado
6	2	15301	418	14345	59664	0.301887	53	tornado
7	2	12765	400	9327	51138	0.301887	53	tornado
8	2	12701	786	12257	50231	0.301887	53	tornado
9	2	13377	1535	13288	50032	0.301887	53	tornado
10	2	15602	3558	12966	48085	0.301887	53	tornado
11	2	22555	6514	150	29069	0.301887	53	tornado
12	2	0	0	0	0	0	0	0

0	3	22557	16050	5822	38606	0.301887	53	tornado
1	3	16660	8940	16621	58381	0.301887	53	tornado
2	3	16725	2741	16744	61229	0.301887	53	tornado
3	3	16717	2188	16727	63389	0.301887	53	tornado
4	3	16708	1530	16736	64897	0.301887	53	tornado
5	3	16690	1956	17257	66809	0.301887	53	tornado
6	3	16106	550	16077	64531	0.301887	53	tornado
7	3	14891	491	13035	58400	0.301887	53	tornado
8	3	12990	1109	9558	51168	0.301887	53	tornado
9	3	13373	2418	12692	49756	0.301887	53	tornado
10	3	16023	2109	13040	47002	0.301887	53	tornado
11	3	22556	6946	632	29502	0.301887	53	tornado
12	3	0	0	0	0	0	0	0

0	4	22555	16211	6288	38766	0.301887	53	tornado
1	4	17014	9033	16503	58530	0.301887	53	tornado
2	4	16747	2530	16701	61300	0.301887	53	tornado
3	4	16796	2227	16859	63622	0.301887	53	tornado
4	4	16721	1526	16747	65011	0.301887	53	tornado
5	4	16711	1938	17141	66915	0.301887	53	tornado
6	4	16260	1309	16220	65159	0.301887	53	tornado
7	4	15828	1448	12944	58474	0.301887	53	tornado
8	4	13302	2343	9611	49570	0.301887	53	tornado
9	4	14180	1844	12750	46675	0.301887	53	tornado
10	4	15768	1619	13364	44015	0.301887	53	tornado
11	4	22556	5671	1599	28227	0.301887	53	tornado
12	4	0	0	0	0	0	0	0

0	5	22555	16383	6584	38938	0.301887	53	tornado
1	5	15893	9464	15604	57711	0.301887	53	tornado
2	5	17448	2306	16794	61872	0.301887	53	tornado
3	5	16863	2182	16871	64126	0.301887	53	tornado
4	5	16871	1465	16893	65593	0.301887	53	tornado
5	5	16854	1939	17265	67492	0.301887	53	tornado
6	5	16430	1044	16383	65818	0.301887	53	tornado
7	5	16055	1251	12923	59177	0.301887	53	tornado
8	5	12990	2129	9607	50180	0.301887	53	tornado
9	5	13838	3343	12596	47653	0.301887	53	tornado
10	5	16096	1561	13250	43723	0.301887	53	tornado
11	5	22555	5060	1551	27615	0.301887	53	tornado
12	5	0	0	0	0	0	0	0

0	6	22555	16614	6757	39169	0.301887	53	tornado
1	6	15726	8109	15574	56247	0.301887	53	tornado
2	6	15911	3001	15602	59583	0.301887	53	tornado
3	6	17514	2411	16820	63907	0.301887	53	tornado
4	6	16926	1706	16930	65719	0.301887	53	tornado
5	6	16916	2027	17153	67729	0.301887	53	tornado
6	6	16662	1608	16615	66760	0.301887	53	tornado
7	6	17994	1398	14141	61133	0.301887	53	tornado
8	6	12923	2800	9608	50302	0.301887	53	tornado
9	6	14276	4763	12845	47424	0.301887	53	tornado
10	6	17010	681	13628	42009	0.301887	53	tornado
11	6	22555	3965	2209	26519	0.301887	53	tornado
12	6	0	0	0	0	0	0	0

0	7	22554	16085	6690	38639	0.301887	53	tornado
1	7	15780	8684	15836	56414	0.301887	53	tornado
2	7	15741	2752	15593	59071	0.301887	53	tornado
3	7	15917	2014	15605	61406	0.301887	53	tornado
4	7	16858	1546	16500	64221	0.301887	53	tornado
5	7	16594	2173	17039	66497	0.301887	53	tornado
6	7	16146	576	16078	64698	0.301887	53	tornado
7	7	15277	753	12714	58528	0.301887	53	tornado
8	7	12757	1156	9786	50964	0.301887	53	tornado
9	7	13274	2632	12649	49701	0.301887	53	tornado
10	7	15871	3307	13040	46834	0.301887	53	tornado
11	7	22555	5609	511	28163	0.301887	53	tornado
12	7	0	0	0	0	0	0	0

0	8	22556	16343	6223	38898	0.301887	53	tornado
1	8	16265	8142	16326	57080	0.301887	53	tornado
2	8	16213	4341	16145	61304	0.301887	53	tornado
3	8	16303	1344	16370	62811	0.301887	53	tornado
4	8	16773	1345	16470	64545	0.301887	53	tornado
5	8	16548	1640	16692	66261	0.301887	53	tornado
6	8	16390	513	16309	65670	0.301887	53	tornado
7	8	16264	841	15785	63980	0.301887	53	tornado
8	8	16754	1041	13711	59352	0.301887	53	tornado
9	8	13655	2511	11824	52504	0.301887	53	tornado
10	8	18053	4248	14111	50450	0.301887	53	tornado
11	8	22555	5835	242	28390	0.301887	53	tornado
12	8	0	0	0	0	0	0	0

0	9	22557	15089	6368	37645	0.301887	53	tornado
1	9	16110	7682	16093	55069	0.301887	53	tornado
2	9	16121	3271	15982	58365	0.301887	53	tornado
3	9	16309	2730	16381	61418	0.301887	53	tornado
4	9	17275	2033	16824	64339	0.301887	53	tornado
5	9	16687	2633	18213	66837	0.301887	53	tornado
6	9	15146	382	12092	60714	0.301887	53	tornado
7	9	15345	501	15141	60327	0.301887	53	tornado
8	9	15450	825	15072	59543	0.301887	53	tornado
9	9	16964	1914	15361	58528	0.301887	53	tornado
10	9	17407	3137	11844	51399	0.301887	53	tornado
11	9	22555	8332	33	30887	0.301887	53	tornado
12	9	0	0	0	0	0	0	0

0	10	22556	16673	6219	39230	0.301887	53	tornado
1	10	16286	11219	16313	60515	0.301887	53	tornado
2	10	16265	2380	16232	62847	0.301887	53	tornado
3	10	16305	1006	16374	63931	0.301887	53	tornado
4	10	17059	1108	16549	65745	0.301887	53	tornado
5	10	16787	1185	16815	67194	0.301887	53	tornado
6	10	16725	988	16683	67064	0.301887	53	tornado
7	10	17162	1345	16597	65939	0.301887	53	tornado
8	10	17485	1420	16505	63927	0.301887	53	tornado
9	10	17647	4149	16352	61367	0.301887	53	tornado
10	10	21783	6365	13881	53080	0.301887	53	tornado
11	10	22555	2134	124	24689	0.301887	53	tornado
