% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	15109	15109	3422	60438	0.500000	32	transpose
1	0	27071	7036	10783	54143	0.500000	32	transpose
2	0	18003	3690	16030	36005	0.500000	32	transpose
3	0	16115	3575	17093	32228	0.500000	32	transpose
4	0	20902	1705	14391	40322	0.500000	32	transpose
5	0	12807	18	15298	51225	0.500000	32	transpose
6	0	14254	17	16453	57020	0.500000	32	transpose
7	0	13316	2256	19504	53261	0.500000	32	transpose
8	0	32038	1545	18723	39373	0.500000	32	transpose
9	0	31163	4814	16183	35978	0.500000	32	transpose
10	0	14980	6795	14987	41122	0.500000	32	transpose
11	0	14972	19500	14835	59890	0.500000	32	transpose
12	0	0	0	0	0	0	0	0

0	1	15110	20479	14829	60435	0.500000	32	transpose
1	1	15390	15390	1867	61559	0.500000	32	transpose
2	1	27253	6358	10924	54508	0.500000	32	transpose
3	1	18204	3267	15941	36411	0.500000	32	transpose
4	1	16106	1772	17368	32214	0.500000	32	transpose
5	1	25837	1830	14843	43987	0.500000	32	transpose
6	1	13107	40	15640	52429	0.500000	32	transpose
7	1	13004	51	18827	52013	0.500000	32	transpose
8	1	13221	1845	17686	48564	0.500000	32	transpose
9	1	30988	1500	18847	36779	0.500000	32	transpose
10	1	30993	4365	16021	35358	0.500000	32	transpose
11	1	14972	6322	14835	40390	0.500000	32	transpose
12	1	0	0	0	0	0	0	0

0	2	15814	5917	15540	40663	0.500000	32	transpose
1	2	15382	20369	15018	61534	0.500000	32	transpose
2	2	15748	15748	2135	62994	0.500000	32	transpose
3	2	27918	6634	10874	55841	0.500000	32	transpose
4	2	18543	3665	15979	37090	0.500000	32	transpose
5	2	16349	1895	17582	32700	0.500000	32	transpose
6	2	28210	2081	15702	44152	0.500000	32	transpose
7	2	14227	162	17035	56906	0.500000	32	transpose
8	2	15978	120	18113	57864	0.500000	32	transpose
9	2	14275	2870	17230	46983	0.500000	32	transpose
10	2	30888	2107	19142	35177	0.500000	32	transpose
11	2	29944	4123	14836	34069	0.500000	32	transpose
12	2	0	0	0	0	0	0	0

0	3	32251	2326	16496	36075	0.500000	32	transpose
1	3	15749	6452	15762	41902	0.500000	32	transpose
2	3	15740	20659	15174	62965	0.500000	32	transpose
3	3	16303	16303	2357	65217	0.500000	32	transpose
4	3	28976	7334	10862	57955	0.500000	32	transpose
5	3	18882	3617	15936	37767	0.500000	32	transpose
6	3	16842	2335	17729	33686	0.500000	32	transpose
7	3	28641	2324	16212	38787	0.500000	32	transpose
8	3	19915	728	17123	60465	0.500000	32	transpose
9	3	19797	482	18947	65250	0.500000	32	transpose
10	3	18163	2597	16437	49020	0.500000	32	transpose
11	3	31425	2182	19170	33607	0.500000	32	transpose
12	3	0	0	0	0	0	0	0

0	4	31084	1496	14735	32580	0.500000	32	transpose
1	4	16351	2242	16640	36646	0.500000	32	transpose
2	4	16053	6732	15813	42940	0.500000	32	transpose
3	4	16297	21464	14782	65195	0.500000	32	transpose
4	4	17812	17812	3334	71257	0.500000	32	transpose
5	4	30264	7792	9771	60533	0.500000	32	transpose
6	4	19792	4518	15522	39589	0.500000	32	transpose
7	4	18260	3035	18078	34300	0.500000	32	transpose
8	4	27557	1174	16874	28731	0.500000	32	transpose
9	4	17042	4105	19473	45070	0.500000	32	transpose
10	4	17024	1635	19457	58750	0.500000	32	transpose
11	4	18000	3749	18936	43499	0.500000	32	transpose
12	4	0	0	0	0	0	0	0

0	5	33719	3275	17761	36995	0.500000	32	transpose
1	5	31084	1704	14735	32788	0.500000	32	transpose
2	5	16814	2379	16637	37259	0.500000	32	transpose
3	5	16524	6890	15241	44186	0.500000	32	transpose
4	5	17808	23614	14118	71236	0.500000	32	transpose
5	5	21499	21499	6372	85999	0.500000	32	transpose
6	5	34814	8476	9228	69633	0.500000	32	transpose
7	5	21359	5320	14631	42722	0.500000	32	transpose
8	5	14938	1147	16874	29879	0.500000	32	transpose
9	5	28191	1210	15571	29401	0.500000	32	transpose
10	5	26884	3556	19540	36120	0.500000	32	transpose
11	5	15875	10712	13369	53175	0.500000	32	transpose
12	5	0	0	0	0	0	0	0

0	6	22241	6280	17881	44482	0.500000	32	transpose
1	6	33360	3123	15795	39760	0.500000	32	transpose
2	6	31083	1715	14734	32799	0.500000	32	transpose
3	6	18977	2483	16729	39570	0.500000	32	transpose
4	6	18556	7762	15656	49155	0.500000	32	transpose
5	6	21496	28842	12100	85988	0.500000	32	transpose
6	6	30958	30958	13605	110239	0.500000	32	transpose
7	6	37733	27759	17020	103852	0.500000	32	transpose
8	6	16121	2367	16874	32244	0.500000	32	transpose
9	6	15287	1215	16713	30574	0.500000	32	transpose
10	6	28445	1144	15581	29589	0.500000	32	transpose
11	6	37728	5683	11141	43410	0.500000	32	transpose
12	6	0	0	0	0	0	0	0

0	7	16109	1955	19741	32217	0.500000	32	transpose
1	7	12344	831	16725	49367	0.500000	32	transpose
2	7	31954	2805	14879	47334	0.500000	32	transpose
3	7	31085	1762	14737	32847	0.500000	32	transpose
4	7	20891	2715	14484	41482	0.500000	32	transpose
5	7	22753	9412	11651	59666	0.500000	32	transpose
6	7	33852	37632	6665	115976	0.500000	32	transpose
7	7	37728	37726	5606	109450	0.500000	32	transpose
8	7	18370	4502	16874	36743	0.500000	32	transpose
9	7	15979	2205	18145	31959	0.500000	32	transpose
10	7	15037	1011	16566	30074	0.500000	32	transpose
