% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
84	1	complement	True	80	0	0	750	750	0	11250
84	1	complement	True	80	1	0	750	750	0	6750
84	1	complement	True	80	2	0	750	750	0	3000
84	1	complement	True	80	3	0	750	750	0	1500
84	1	complement	True	80	4	0	750	750	0	5250
84	1	complement	True	80	5	0	750	750	0	10500
84	1	complement	True	80	6	0	750	750	0	11250
84	1	complement	True	80	7	0	750	750	0	8250
84	1	complement	True	80	8	0	750	750	0	3000
84	1	complement	True	80	9	0	750	750	0	1500
84	1	complement	True	80	10	0	750	750	0	5250
84	1	complement	True	80	11	0	750	750	0	9000
0	0	0	0	0	12	0	0	0	0	0

84	1	complement	True	80	0	1	750	750	0	6750
84	1	complement	True	80	1	1	750	750	0	6750
84	1	complement	True	80	2	1	750	750	0	2250
84	1	complement	True	80	3	1	750	750	0	1500
84	1	complement	True	80	4	1	750	750	0	1500
84	1	complement	True	80	5	1	750	750	0	5250
84	1	complement	True	80	6	1	750	750	0	8250
84	1	complement	True	80	7	1	750	750	0	6750
84	1	complement	True	80	8	1	750	750	0	3750
84	1	complement	True	80	9	1	750	750	0	1500
84	1	complement	True	80	10	1	750	750	0	1500
84	1	complement	True	80	11	1	750	750	0	5250
0	0	0	0	0	12	1	0	0	0	0

84	1	complement	True	80	0	2	750	750	0	3000
84	1	complement	True	80	1	2	750	750	0	2250
84	1	complement	True	80	2	2	750	750	0	1500
84	1	complement	True	80	3	2	750	750	0	1500
84	1	complement	True	80	4	2	750	750	0	1500
84	1	complement	True	80	5	2	750	750	0	1500
84	1	complement	True	80	6	2	750	750	0	3000
84	1	complement	True	80	7	2	750	750	0	3750
84	1	complement	True	80	8	2	750	750	0	3000
84	1	complement	True	80	9	2	750	750	0	1500
84	1	complement	True	80	10	2	750	750	0	1500
84	1	complement	True	80	11	2	750	750	0	1500
0	0	0	0	0	12	2	0	0	0	0

84	1	complement	True	80	0	3	750	750	0	1500
84	1	complement	True	80	1	3	750	750	0	1500
84	1	complement	True	80	2	3	750	750	0	1500
84	1	complement	True	80	3	3	750	750	0	3000
84	1	complement	True	80	4	3	750	750	0	3750
84	1	complement	True	80	5	3	750	750	0	3000
84	1	complement	True	80	6	3	750	750	0	1500
84	1	complement	True	80	7	3	750	750	0	1500
84	1	complement	True	80	8	3	750	750	0	1500
84	1	complement	True	80	9	3	750	750	0	1500
84	1	complement	True	80	10	3	750	750	0	2250
84	1	complement	True	80	11	3	750	750	0	3000
0	0	0	0	0	12	3	0	0	0	0

84	1	complement	True	80	0	4	750	750	0	5250
84	1	complement	True	80	1	4	750	750	0	1500
84	1	complement	True	80	2	4	750	750	0	1500
84	1	complement	True	80	3	4	750	750	0	3750
84	1	complement	True	80	4	4	750	750	0	6750
84	1	complement	True	80	5	4	750	750	0	8250
84	1	complement	True	80	6	4	750	750	0	5250
84	1	complement	True	80	7	4	750	750	0	1500
84	1	complement	True	80	8	4	750	750	0	1500
84	1	complement	True	80	9	4	750	750	0	2250
84	1	complement	True	80	10	4	750	750	0	6750
84	1	complement	True	80	11	4	750	750	0	6750
0	0	0	0	0	12	4	0	0	0	0

84	1	complement	True	80	0	5	750	750	0	9000
84	1	complement	True	80	1	5	750	750	0	5250
84	1	complement	True	80	2	5	750	750	0	1500
84	1	complement	True	80	3	5	750	750	0	3000
84	1	complement	True	80	4	5	750	750	0	8250
84	1	complement	True	80	5	5	750	750	0	11250
84	1	complement	True	80	6	5	750	750	0	10500
84	1	complement	True	80	7	5	750	750	0	5250
84	1	complement	True	80	8	5	750	750	0	1500
84	1	complement	True	80	9	5	750	750	0	3000
84	1	complement	True	80	10	5	750	750	0	6750
84	1	complement	True	80	11	5	750	750	0	11250
0	0	0	0	0	12	5	0	0	0	0

84	1	complement	True	80	0	6	750	750	0	11250
84	1	complement	True	80	1	6	750	750	0	6750
84	1	complement	True	80	2	6	750	750	0	3000
84	1	complement	True	80	3	6	750	750	0	1500
84	1	complement	True	80	4	6	750	750	0	5250
84	1	complement	True	80	5	6	750	750	0	10500
84	1	complement	True	80	6	6	750	750	0	11250
84	1	complement	True	80	7	6	750	750	0	8250
84	1	complement	True	80	8	6	750	750	0	3000
84	1	complement	True	80	9	6	750	750	0	1500
84	1	complement	True	80	10	6	750	750	0	5250
84	1	complement	True	80	11	6	750	750	0	9000
0	0	0	0	0	12	6	0	0	0	0

84	1	complement	True	80	0	7	750	750	0	6750
84	1	complement	True	80	1	7	750	750	0	6750
84	1	complement	True	80	2	7	750	750	0	2250
84	1	complement	True	80	3	7	750	750	0	1500
84	1	complement	True	80	4	7	750	750	0	1500
84	1	complement	True	80	5	7	750	750	0	5250
84	1	complement	True	80	6	7	750	750	0	8250
84	1	complement	True	80	7	7	750	750	0	6750
84	1	complement	True	80	8	7	750	750	0	3750
84	1	complement	True	80	9	7	750	750	0	1500
84	1	complement	True	80	10	7	750	750	0	1500
84	1	complement	True	80	11	7	750	750	0	5250
0	0	0	0	0	12	7	0	0	0	0

84	1	complement	True	80	0	8	750	750	0	3000
84	1	complement	True	80	1	8	750	750	0	2250
84	1	complement	True	80	2	8	750	750	0	1500
84	1	complement	True	80	3	8	750	750	0	1500
84	1	complement	True	80	4	8	750	750	0	1500
84	1	complement	True	80	5	8	750	750	0	1500
84	1	complement	True	80	6	8	750	750	0	3000
84	1	complement	True	80	7	8	750	750	0	3750
84	1	complement	True	80	8	8	750	750	0	3000
84	1	complement	True	80	9	8	750	750	0	1500
84	1	complement	True	80	10	8	750	750	0	1500
84	1	complement	True	80	11	8	750	750	0	1500
0	0	0	0	0	12	8	0	0	0	0

84	1	complement	True	80	0	9	750	750	0	1500
84	1	complement	True	80	1	9	750	750	0	1500
84	1	complement	True	80	2	9	750	750	0	1500
84	1	complement	True	80	3	9	750	750	0	3000
84	1	complement	True	80	4	9	750	750	0	3750
84	1	complement	True	80	5	9	750	750	0	3000
84	1	complement	True	80	6	9	750	750	0	1500
84	1	complement	True	80	7	9	750	750	0	1500
84	1	complement	True	80	8	9	750	750	0	1500
84	1	complement	True	80	9	9	750	750	0	1500
84	1	complement	True	80	10	9	750	750	0	2250
84	1	complement	True	80	11	9	750	750	0	3000
0	0	0	0	0	12	9	0	0	0	0

84	1	complement	True	80	0	10	750	750	0	5250
84	1	complement	True	80	1	10	750	750	0	1500
84	1	complement	True	80	2	10	750	750	0	1500
84	1	complement	True	80	3	10	750	750	0	3750
84	1	complement	True	80	4	10	750	750	0	6750
84	1	complement	True	80	5	10	750	750	0	8250
84	1	complement	True	80	6	10	750	750	0	5250
84	1	complement	True	80	7	10	750	750	0	1500
84	1	complement	True	80	8	10	750	750	0	1500
84	1	complement	True	80	9	10	750	750	0	2250
84	1	complement	True	80	10	10	750	750	0	6750
84	1	complement	True	80	11	10	750	750	0	6750
