% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
60	1	cyclic	False	20	0	0	1430	783	659	4702
60	1	cyclic	False	20	1	0	1380	779	656	4732
60	1	cyclic	False	20	2	0	1433	772	638	4856
60	1	cyclic	False	20	3	0	1477	796	628	4979
60	1	cyclic	False	20	4	0	1411	749	651	4902
60	1	cyclic	False	20	5	0	1423	754	656	4919
60	1	cyclic	False	20	6	0	1444	745	663	4896
60	1	cyclic	False	20	7	0	1438	712	657	4840
60	1	cyclic	False	20	8	0	1452	763	645	4869
60	1	cyclic	False	20	9	0	1486	770	654	4846
60	1	cyclic	False	20	10	0	1441	794	654	4800
60	1	cyclic	False	20	11	0	1575	819	657	4954
0	0	0	0	0	12	0	0	0	0	0

60	1	cyclic	False	20	0	1	1443	753	640	4852
60	1	cyclic	False	20	1	1	1489	760	642	4947
60	1	cyclic	False	20	2	1	1410	754	636	4876
60	1	cyclic	False	20	3	1	1374	715	656	4759
60	1	cyclic	False	20	4	1	1394	727	667	4835
60	1	cyclic	False	20	5	1	1384	724	656	4761
60	1	cyclic	False	20	6	1	1368	730	680	4729
60	1	cyclic	False	20	7	1	1362	738	678	4647
60	1	cyclic	False	20	8	1	1372	719	682	4599
60	1	cyclic	False	20	9	1	1449	759	663	4667
60	1	cyclic	False	20	10	1	1461	789	681	4828
60	1	cyclic	False	20	11	1	1570	785	624	5088
0	0	0	0	0	12	1	0	0	0	0

60	1	cyclic	False	20	0	2	1459	766	649	4814
60	1	cyclic	False	20	1	2	1398	753	663	4719
60	1	cyclic	False	20	2	2	1350	738	649	4623
60	1	cyclic	False	20	3	2	1377	748	664	4692
60	1	cyclic	False	20	4	2	1358	721	673	4710
60	1	cyclic	False	20	5	2	1330	710	682	4617
60	1	cyclic	False	20	6	2	1329	699	672	4594
60	1	cyclic	False	20	7	2	1348	703	683	4566
60	1	cyclic	False	20	8	2	1370	704	694	4506
60	1	cyclic	False	20	9	2	1369	773	695	4513
60	1	cyclic	False	20	10	2	1517	781	654	4853
60	1	cyclic	False	20	11	2	1576	815	653	5057
0	0	0	0	0	12	2	0	0	0	0

60	1	cyclic	False	20	0	3	1415	740	646	4838
60	1	cyclic	False	20	1	3	1469	796	649	4911
60	1	cyclic	False	20	2	3	1421	752	663	4834
60	1	cyclic	False	20	3	3	1435	716	659	4736
60	1	cyclic	False	20	4	3	1358	707	662	4745
60	1	cyclic	False	20	5	3	1379	710	681	4718
60	1	cyclic	False	20	6	3	1360	716	674	4668
60	1	cyclic	False	20	7	3	1367	689	672	4628
60	1	cyclic	False	20	8	3	1414	721	647	4688
60	1	cyclic	False	20	9	3	1397	720	676	4530
60	1	cyclic	False	20	10	3	1464	737	679	4789
60	1	cyclic	False	20	11	3	1463	785	657	4916
0	0	0	0	0	12	3	0	0	0	0

60	1	cyclic	False	20	0	4	1393	733	661	4716
60	1	cyclic	False	20	1	4	1413	781	662	4818
60	1	cyclic	False	20	2	4	1358	740	673	4682
60	1	cyclic	False	20	3	4	1308	709	690	4508
60	1	cyclic	False	20	4	4	1341	708	686	4585
60	1	cyclic	False	20	5	4	1361	694	659	4691
60	1	cyclic	False	20	6	4	1356	710	682	4714
60	1	cyclic	False	20	7	4	1354	673	666	4669
60	1	cyclic	False	20	8	4	1381	727	650	4726
60	1	cyclic	False	20	9	4	1380	738	675	4617
60	1	cyclic	False	20	10	4	1410	765	674	4698
60	1	cyclic	False	20	11	4	1381	771	659	4643
0	0	0	0	0	12	4	0	0	0	0

60	1	cyclic	False	20	0	5	1460	761	654	4944
60	1	cyclic	False	20	1	5	1420	754	673	4870
60	1	cyclic	False	20	2	5	1408	780	656	4889
60	1	cyclic	False	20	3	5	1346	687	654	4661
60	1	cyclic	False	20	4	5	1346	717	652	4709
60	1	cyclic	False	20	5	5	1328	660	678	4594
60	1	cyclic	False	20	6	5	1324	662	689	4584
60	1	cyclic	False	20	7	5	1337	678	678	4592
60	1	cyclic	False	20	8	5	1384	704	682	4673
60	1	cyclic	False	20	9	5	1360	738	687	4614
60	1	cyclic	False	20	10	5	1453	743	652	4813
60	1	cyclic	False	20	11	5	1517	766	667	4899
0	0	0	0	0	12	5	0	0	0	0

60	1	cyclic	False	20	0	6	1461	744	640	4929
60	1	cyclic	False	20	1	6	1422	793	646	4966
60	1	cyclic	False	20	2	6	1393	741	650	4837
60	1	cyclic	False	20	3	6	1383	707	666	4676
60	1	cyclic	False	20	4	6	1317	701	676	4580
60	1	cyclic	False	20	5	6	1281	671	669	4440
60	1	cyclic	False	20	6	6	1264	638	696	4325
60	1	cyclic	False	20	7	6	1281	675	693	4404
60	1	cyclic	False	20	8	6	1329	695	699	4474
60	1	cyclic	False	20	9	6	1346	693	680	4529
60	1	cyclic	False	20	10	6	1407	729	673	4688
60	1	cyclic	False	20	11	6	1430	746	644	4762
0	0	0	0	0	12	6	0	0	0	0

60	1	cyclic	False	20	0	7	1463	753	671	4766
60	1	cyclic	False	20	1	7	1426	762	665	4835
60	1	cyclic	False	20	2	7	1388	761	643	4773
60	1	cyclic	False	20	3	7	1302	693	675	4513
60	1	cyclic	False	20	4	7	1297	663	693	4451
60	1	cyclic	False	20	5	7	1323	647	675	4507
60	1	cyclic	False	20	6	7	1306	637	681	4462
60	1	cyclic	False	20	7	7	1324	688	677	4508
60	1	cyclic	False	20	8	7	1336	722	715	4399
60	1	cyclic	False	20	9	7	1326	703	702	4390
60	1	cyclic	False	20	10	7	1359	762	693	4442
60	1	cyclic	False	20	11	7	1385	762	667	4581
0	0	0	0	0	12	7	0	0	0	0

60	1	cyclic	False	20	0	8	1489	791	628	4917
60	1	cyclic	False	20	1	8	1408	771	634	4864
60	1	cyclic	False	20	2	8	1402	738	654	4781
60	1	cyclic	False	20	3	8	1402	711	681	4659
60	1	cyclic	False	20	4	8	1321	674	690	4451
60	1	cyclic	False	20	5	8	1311	653	705	4412
60	1	cyclic	False	20	6	8	1328	660	678	4516
60	1	cyclic	False	20	7	8	1342	695	677	4616
60	1	cyclic	False	20	8	8	1391	705	663	4692
60	1	cyclic	False	20	9	8	1356	718	677	4584
60	1	cyclic	False	20	10	8	1352	742	639	4560
60	1	cyclic	False	20	11	8	1508	808	651	4854
0	0	0	0	0	12	8	0	0	0	0

60	1	cyclic	False	20	0	9	1500	781	649	4897
60	1	cyclic	False	20	1	9	1421	771	671	4767
60	1	cyclic	False	20	2	9	1368	733	666	4669
60	1	cyclic	False	20	3	9	1393	735	666	4722
60	1	cyclic	False	20	4	9	1372	691	673	4647
60	1	cyclic	False	20	5	9	1335	673	691	4586
60	1	cyclic	False	20	6	9	1332	679	683	4544
60	1	cyclic	False	20	7	9	1418	708	687	4743
60	1	cyclic	False	20	8	9	1431	757	654	4773
60	1	cyclic	False	20	9	9	1391	742	662	4737
60	1	cyclic	False	20	10	9	1373	722	691	4586
60	1	cyclic	False	20	11	9	1459	776	658	4815
0	0	0	0	0	12	9	0	0	0	0

60	1	cyclic	False	20	0	10	1498	786	638	4905
60	1	cyclic	False	20	1	10	1403	803	662	4803
60	1	cyclic	False	20	2	10	1464	772	651	4849
60	1	cyclic	False	20	3	10	1413	777	654	4931
60	1	cyclic	False	20	4	10	1427	738	667	4970
60	1	cyclic	False	20	5	10	1379	745	666	4780
60	1	cyclic	False	20	6	10	1371	723	672	4648
60	1	cyclic	False	20	7	10	1381	695	659	4651
60	1	cyclic	False	20	8	10	1408	752	645	4753
60	1	cyclic	False	20	9	10	1502	767	658	4919
60	1	cyclic	False	20	10	10	1524	789	624	5004
60	1	cyclic	False	20	11	10	1472	784	659	4904
0	0	0	0	0	12	10	0	0	0	0

60	1	cyclic	False	20	0	11	1423	765	630	4781
60	1	cyclic	False	20	1	11	1429	767	654	4713
60	1	cyclic	False	20	2	11	1433	765	671	4891
60	1	cyclic	False	20	3	11	1395	765	648	4849
60	1	cyclic	False	20	4	11	1429	747	649	4956
60	1	cyclic	False	20	5	11	1435	774	641	4948
60	1	cyclic	False	20	6	11	1367	721	666	4773
60	1	cyclic	False	20	7	11	1384	726	675	4646
60	1	cyclic	False	20	8	11	1380	727	666	4629
60	1	cyclic	False	20	9	11	1431	749	673	4751
60	1	cyclic	False	20	10	11	1504	810	640	4945
60	1	cyclic	False	20	11	11	1538	765	638	4932
0	0	0	0	0	12	11	0	0	0	0

0	0	0	0	0	0	12	0	0	0	0
0	0	0	0	0	1	12	0	0	0	0
0	0	0	0	0	2	12	0	0	0	0
0	0	0	0	0	3	12	0	0	0	0
0	0	0	0	0	4	12	0	0	0	0
0	0	0	0	0	5	12	0	0	0	0
0	0	0	0	0	6	12	0	0	0	0
0	0	0	0	0	7	12	0	0	0	0
0	0	0	0	0	8	12	0	0	0	0
0	0	0	0	0	9	12	0	0	0	0
0	0	0	0	0	10	12	0	0	0	0
0	0	0	0	0	11	12	0	0	0	0
0	0	0	0	0	12	12	0	0	0	0
