group	sample	torus_width	torus_height	periodic_interval	warmup_ticks	warmup_duration	warmup_packet_pool_size	sample_ticks	sample_duration	sample_packet_pool_size
1	1	12	12	160	1000000	87.326	511	100000	8.730	511
3	1	11	11	160	1000000	73.426	255	100000	7.341	255
5	1	10	10	160	1000000	60.758	255	100000	6.072	255
7	1	9	9	160	1000000	48.740	255	100000	4.876	255
9	1	8	8	160	1000000	38.626	127	100000	3.864	127
11	1	7	7	160	1000000	29.501	63	100000	2.951	63
13	1	6	6	160	1000000	21.420	63	100000	2.142	63
15	1	5	5	160	1000000	14.783	31	100000	1.479	31
17	1	4	4	160	1000000	9.553	31	100000	0.956	31
19	1	3	3	160	1000000	4.798	15	100000	0.479	15
21	1	2	2	160	1000000	1.643	7	100000	0.164	7
