group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
222	1	tornado	True	53	0	0	1132	0	480	653
222	1	tornado	True	53	1	0	652	652	652	1304
222	1	tornado	True	53	2	0	652	652	653	1957
222	1	tornado	True	53	3	0	652	0	652	1956
222	1	tornado	True	53	4	0	653	0	653	1957
222	1	tornado	True	53	5	0	652	0	652	1956
222	1	tornado	True	53	6	0	652	0	652	1956
222	1	tornado	True	53	7	0	652	0	652	1956
222	1	tornado	True	53	8	0	652	0	652	1957
222	1	tornado	True	53	9	0	652	0	652	1956
222	1	tornado	True	53	10	0	653	653	480	1958
222	1	tornado	True	53	11	0	1132	0	0	1132
0	0	0	0	0	12	0	0	0	0	0

222	1	tornado	True	53	0	1	1132	0	480	653
222	1	tornado	True	53	1	1	652	652	652	1304
222	1	tornado	True	53	2	1	652	652	653	1957
222	1	tornado	True	53	3	1	652	0	652	1956
222	1	tornado	True	53	4	1	653	0	653	1957
222	1	tornado	True	53	5	1	652	0	652	1956
222	1	tornado	True	53	6	1	652	0	652	1956
222	1	tornado	True	53	7	1	652	0	652	1956
222	1	tornado	True	53	8	1	652	0	652	1957
222	1	tornado	True	53	9	1	652	0	652	1956
222	1	tornado	True	53	10	1	653	653	480	1958
222	1	tornado	True	53	11	1	1132	0	0	1132
0	0	0	0	0	12	1	0	0	0	0

222	1	tornado	True	53	0	2	1132	0	480	653
222	1	tornado	True	53	1	2	652	652	652	1304
222	1	tornado	True	53	2	2	652	652	653	1957
222	1	tornado	True	53	3	2	652	0	652	1956
222	1	tornado	True	53	4	2	653	0	653	1957
222	1	tornado	True	53	5	2	652	0	652	1956
222	1	tornado	True	53	6	2	652	0	652	1956
222	1	tornado	True	53	7	2	652	0	652	1956
222	1	tornado	True	53	8	2	652	0	652	1957
222	1	tornado	True	53	9	2	652	0	652	1956
222	1	tornado	True	53	10	2	653	653	480	1958
222	1	tornado	True	53	11	2	1132	0	0	1132
0	0	0	0	0	12	2	0	0	0	0

222	1	tornado	True	53	0	3	1132	0	480	653
222	1	tornado	True	53	1	3	652	652	652	1304
222	1	tornado	True	53	2	3	652	652	653	1957
222	1	tornado	True	53	3	3	652	0	652	1956
222	1	tornado	True	53	4	3	653	0	653	1957
222	1	tornado	True	53	5	3	652	0	652	1956
222	1	tornado	True	53	6	3	652	0	652	1956
222	1	tornado	True	53	7	3	652	0	652	1956
222	1	tornado	True	53	8	3	652	0	652	1957
222	1	tornado	True	53	9	3	652	0	652	1956
222	1	tornado	True	53	10	3	653	653	480	1958
222	1	tornado	True	53	11	3	1132	0	0	1132
0	0	0	0	0	12	3	0	0	0	0

222	1	tornado	True	53	0	4	1132	0	480	653
222	1	tornado	True	53	1	4	652	652	652	1304
222	1	tornado	True	53	2	4	652	652	653	1957
222	1	tornado	True	53	3	4	652	0	652	1956
222	1	tornado	True	53	4	4	653	0	653	1957
222	1	tornado	True	53	5	4	652	0	652	1956
222	1	tornado	True	53	6	4	652	0	652	1956
222	1	tornado	True	53	7	4	652	0	652	1956
222	1	tornado	True	53	8	4	652	0	652	1957
222	1	tornado	True	53	9	4	652	0	652	1956
222	1	tornado	True	53	10	4	653	653	480	1958
222	1	tornado	True	53	11	4	1132	0	0	1132
0	0	0	0	0	12	4	0	0	0	0

222	1	tornado	True	53	0	5	1132	0	480	653
222	1	tornado	True	53	1	5	652	652	652	1304
222	1	tornado	True	53	2	5	652	652	653	1957
222	1	tornado	True	53	3	5	652	0	652	1956
