% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
176	1	transpose	True	32	0	0	1111	1111	327	4118
176	1	transpose	True	32	1	0	1560	0	376	2743
176	1	transpose	True	32	2	0	1037	0	775	1299
176	1	transpose	True	32	3	0	956	478	916	996
176	1	transpose	True	32	4	0	1417	251	941	1548
176	1	transpose	True	32	5	0	617	1	713	1755
176	1	transpose	True	32	6	0	685	1	788	1952
176	1	transpose	True	32	7	0	652	126	961	1647
176	1	transpose	True	32	8	0	1606	67	952	969
176	1	transpose	True	32	9	0	1875	251	764	1362
176	1	transpose	True	32	10	0	1111	507	1111	1868
176	1	transpose	True	32	11	0	1111	1470	1111	3333
0	0	0	0	0	12	0	0	0	0	0

176	1	transpose	True	32	0	1	1111	1465	1111	3333
176	1	transpose	True	32	1	1	1111	1111	332	4112
176	1	transpose	True	32	2	1	1567	0	394	2738
176	1	transpose	True	32	3	1	986	0	711	1261
176	1	transpose	True	32	4	1	932	215	905	959
176	1	transpose	True	32	5	1	1345	247	907	1382
176	1	transpose	True	32	6	1	631	0	720	1803
176	1	transpose	True	32	7	1	642	3	948	1620
176	1	transpose	True	32	8	1	656	112	865	1498
176	1	transpose	True	32	9	1	1525	80	933	841
176	1	transpose	True	32	10	1	1875	250	764	1361
176	1	transpose	True	32	11	1	1110	510	1111	1863
0	0	0	0	0	12	1	0	0	0	0

176	1	transpose	True	32	0	2	1111	494	1111	1868
176	1	transpose	True	32	1	2	1111	1463	1111	3333
176	1	transpose	True	32	2	2	1111	1111	328	4117
176	1	transpose	True	32	3	2	1553	0	394	2714
176	1	transpose	True	32	4	2	974	0	703	1244
176	1	transpose	True	32	5	2	928	217	906	950
176	1	transpose	True	32	6	2	1381	187	924	1195
176	1	transpose	True	32	7	2	687	6	808	1940
176	1	transpose	True	32	8	2	781	8	900	1942
176	1	transpose	True	32	9	2	730	108	865	1418
176	1	transpose	True	32	10	2	1531	79	959	743
176	1	transpose	True	32	11	2	1875	243	764	1354
0	0	0	0	0	12	2	0	0	0	0

176	1	transpose	True	32	0	3	1875	185	764	1374
176	1	transpose	True	32	1	3	1112	550	1111	1871
